Trajectory for A states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -109.35363778     -0.00000000       
2                 0.00000000        -109.35039973     -0.00000000       
3                 0.00000000        -109.35039696     -0.00000000       
4                 0.00000000        -109.35029409     -0.00000000       
5                 0.00000000        -109.32230641     -0.00000000       
1                 0.00050000        -109.35363778     -0.04512504       
2                 0.00050000        -109.35039696     -0.08034637       
3                 0.00050000        -109.35029409     -0.07126279       
4                 0.00050000        -109.34140559     -0.10653696       
5                 0.00050000        -109.33130055     -0.02473852       
1                 0.00100000        -109.35363778     -0.09025008       
2                 0.00100000        -109.35039696     -0.16069274       
3                 0.00100000        -109.35029409     -0.14252558       
4                 0.00100000        -109.34122219     -0.21615485       
5                 0.00100000        -109.33148394     -0.04639612       
1                 0.00150000        -109.35363778     -0.13537512       
2                 0.00150000        -109.35039696     -0.24103911       
3                 0.00150000        -109.35029409     -0.21378837       
4                 0.00150000        -109.34118997     -0.32508041       
5                 0.00150000        -109.33151617     -0.06874604       
1                 0.00200000        -109.35363778     -0.18050016       
2                 0.00200000        -109.35039696     -0.32138547       
3                 0.00200000        -109.35029409     -0.28505116       
4                 0.00200000        -109.34117882     -0.43383554       
5                 0.00200000        -109.33152732     -0.09126639       
1                 0.00250000        -109.35363778     -0.22562520       
2                 0.00250000        -109.35039696     -0.40173184       
3                 0.00250000        -109.35029409     -0.35631395       
4                 0.00250000        -109.34117368     -0.54252278       
5                 0.00250000        -109.33153246     -0.11385463       
1                 0.00300000        -109.35363778     -0.27075024       
2                 0.00300000        -109.35039696     -0.48207821       
3                 0.00300000        -109.35029409     -0.42757675       
4                 0.00300000        -109.34117089     -0.65117614       
5                 0.00300000        -109.33153525     -0.13647676       
1                 0.00350000        -109.35363778     -0.31587528       
2                 0.00350000        -109.35039696     -0.56242458       
3                 0.00350000        -109.35029409     -0.49883954       
4                 0.00350000        -109.34116921     -0.75981014       
5                 0.00350000        -109.33153693     -0.15911823       
1                 0.00400000        -109.35363778     -0.36100032       
2                 0.00400000        -109.35039696     -0.64277095       
3                 0.00400000        -109.35029409     -0.57010233       
4                 0.00400000        -109.34116812     -0.86843207       
5                 0.00400000        -109.33153802     -0.18177179       
1                 0.00450000        -109.35363778     -0.40612536       
2                 0.00450000        -109.35039696     -0.72311732       
3                 0.00450000        -109.35029409     -0.64136512       
4                 0.00450000        -109.34116738     -0.97704593       
5                 0.00450000        -109.33153876     -0.20443341       
1                 0.00500000        -109.35363778     -0.45125040       
2                 0.00500000        -109.35039696     -0.80346369       
3                 0.00500000        -109.35029409     -0.71262791       
4                 0.00500000        -109.34116684     -1.08565416       
5                 0.00500000        -109.33153930     -0.22710066       
1                 0.00550000        -109.35363778     -0.49637544       
2                 0.00550000        -109.35039696     -0.88381006       
3                 0.00550000        -109.35029409     -0.78389070       
4                 0.00550000        -109.34116645     -1.19425830       
5                 0.00550000        -109.33153969     -0.24977201       
1                 0.00600000        -109.35363778     -0.54150048       
2                 0.00600000        -109.35039696     -0.96415642       
3                 0.00600000        -109.35029409     -0.85515349       
4                 0.00600000        -109.34116615     -1.30285935       
5                 0.00600000        -109.33153999     -0.27244643       
1                 0.00650000        -109.35039696     -1.04450279       
2                 0.00650000        -109.35363778     -0.58662552       
3                 0.00650000        -109.35029409     -0.92641628       
4                 0.00650000        -109.34116592     -1.41145805       
5                 0.00650000        -109.33154022     -0.29512322       
1                 0.00700000        -109.35039696     -1.12484916       
2                 0.00700000        -109.35363778     -0.63175056       
3                 0.00700000        -109.35029409     -0.99767907       
4                 0.00700000        -109.34116573     -1.52005489       
