Trajectory for B2g states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -78.30483140      -0.00000000       
2                 0.00000000        -78.27667650      -0.00000000       
3                 0.00000000        -78.24556892      -0.00000000       
4                 0.00000000        -78.21021784      -0.00000000       
5                 0.00000000        -78.13275060      -0.00000000       
1                 0.00100000        -78.29553602      -0.01127986       
2                 0.00100000        -78.27796158      -0.05361745       
3                 0.00100000        -78.24672763      -0.01101585       
4                 0.00100000        -78.21479664      -0.02257411       
5                 0.00100000        -78.13502340      -0.02039649       
1                 0.00120000        -78.29513816      -0.01198217       
2                 0.00120000        -78.27681769      -0.06759861       
3                 0.00120000        -78.24591929      -0.01146060       
4                 0.00120000        -78.21613599      -0.02721928       
5                 0.00120000        -78.13603414      -0.02439986       
1                 0.00140000        -78.29488663      -0.01288129       
2                 0.00140000        -78.27579851      -0.08153768       
3                 0.00140000        -78.24494460      -0.01156137       
4                 0.00140000        -78.21717608      -0.03209643       
5                 0.00140000        -78.13723945      -0.02836052       
1                 0.00160000        -78.29470272      -0.01389886       
2                 0.00160000        -78.27493638      -0.09543093       
3                 0.00160000        -78.24402550      -0.01141412       
4                 0.00160000        -78.21773348      -0.03720106       
5                 0.00160000        -78.13864718      -0.03226906       
1                 0.00180000        -78.29455548      -0.01499093       
2                 0.00180000        -78.27422014      -0.10927277       
3                 0.00180000        -78.24326463      -0.01115044       
4                 0.00180000        -78.21773679      -0.04246311       
5                 0.00180000        -78.14026823      -0.03611353       
1                 0.00200000        -78.29443097      -0.01613197       
2                 0.00200000        -78.27362639      -0.12306030       
3                 0.00200000        -78.24266331      -0.01087255       
4                 0.00200000        -78.21720744      -0.04782496       
5                 0.00200000        -78.14211716      -0.03987775       
1                 0.00220000        -78.29432228      -0.01730653       
2                 0.00220000        -78.27313113      -0.13679472       
3                 0.00220000        -78.24218449      -0.01063093       
4                 0.00220000        -78.21619443      -0.05327354       
5                 0.00220000        -78.14421294      -0.04353857       
1                 0.00240000        -78.29422564      -0.01850493       
2                 0.00240000        -78.27271391      -0.15048004       
3                 0.00240000        -78.24179064      -0.01044139       
4                 0.00240000        -78.21473593      -0.05883338       
