eta Re1 Im1 Re2 Im2 Re3 Im3 Re4 Im4 Re5 Im5
1.0000000000e-03 0.73896681 -0.30406473 1.24032440 -1.45176723 2.07385160 -0.29760237 2.93881137 -0.61829713 5.12624626 -0.55519856 
1.200000e-03 0.74976785 -0.32293121 2.09700208 -0.30813682 1.28289340 -1.83089672 2.90115842 -0.74801966 5.10696079 -0.66510010 
1.400000e-03 0.75675064 -0.34709348 2.12433939 -0.30868693 1.32447736 -2.21028868 2.87136270 -0.88438541 5.08325521 -0.77458863 
1.600000e-03 0.76173201 -0.37444062 2.14964566 -0.30269070 1.36387674 -2.59010565 2.85482029 -1.02672522 5.05546046 -0.88348679 
1.800000e-03 0.76569303 -0.40381700 2.17047637 -0.29348697 2.85310421 -1.17272081 1.40106736 -2.97033853 5.02322813 -0.99119021 
2.000000e-03 0.76906979 -0.43450671 2.18667043 -0.28403956 2.86539114 -1.32084334 1.43638603 -3.35100386 4.98591812 -1.09744015 
2.200000e-03 0.77200011 -0.46613303 2.19971341 -0.27576073 2.89021839 -1.47070620 1.47024830 -3.73217091 4.94365168 -1.20168535 
2.400000e-03 0.77443524 -0.49841572 2.21073878 -0.26899870 2.92624804 -1.62287242 1.50297683 -4.11398882 4.89594027 -1.30321421 
2.600000e-03 0.77678779 -0.53117321 2.22010314 -0.26376914 2.97256552 -1.77858453 1.53478601 -4.49660716 4.84208748 -1.40108626 
2.800000e-03 0.77892414 -0.56429829 2.22841895 -0.25955869 3.02861132 -1.93936383 4.78175435 -1.49366663 1.56580407 -4.88020779 
3.000000e-03 0.78087152 -0.59771366 2.23584834 -0.25650361 3.09388966 -2.10755238 4.71449357 -1.57922154 1.59603538 -5.26488167 
3.200000e-03 0.78265548 -0.63136312 2.24306281 -0.25399123 3.16741174 -2.28635809 4.64162787 -1.65365200 1.62551658 -5.65069876 
3.400000e-03 0.78429346 -0.66520751 2.24983071 -0.25221528 3.24615632 -2.47958366 4.56529855 -1.71411548 1.65415321 -6.03769189 
3.600000e-03 0.78580220 -0.69921673 2.25636445 -0.25088889 3.32426980 -2.69004122 4.49127026 -1.75748876 1.68189985 -6.42585502 
3.800000e-03 0.78719725 -0.73336740 2.26260021 -0.25020041 3.39400438 -2.91638329 4.42741335 -1.78581513 1.70869154 -6.81503670 
4.000000e-03 0.78849080 -0.76764738 2.26881385 -0.24954683 3.45006723 -3.15207166 4.37851693 -1.80467097 1.73449176 -7.20538872 
4.200000e-03 0.78969008 -0.80203246 2.27480386 -0.24920493 4.34432656 -1.82143326 3.49273683 -3.39036315 1.75926696 -7.59663428 
4.400000e-03 0.79080890 -0.83651547 2.28066557 -0.24900722 4.32187746 -1.84013473 3.52489575 -3.62708614 1.78299273 -7.98875336 
4.600000e-03 0.79185013 -0.87108392 2.28621940 -0.24897945 4.30791592 -1.86235294 3.54963141 -3.86064653 8.23887522 -1.52489692 
4.800000e-03 0.79283896 -0.90573794 2.29195502 -0.24887518 4.30059077 -1.88834243 3.56920540 -4.09073079 8.21259902 -1.57657100 
