Trajectory for B2g states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -78.40558847      -0.00000000       
2                 0.00000000        -78.38026085      -0.00000000       
3                 0.00000000        -78.34868960      -0.00000000       
4                 0.00000000        -78.31850250      -0.00000000       
5                 0.00000000        -78.25239112      -0.00000000       
6                 0.00000000        -78.17781860      -0.00000000       
7                 0.00000000        -78.17765958      -0.00000000       
8                 0.00000000        -78.17040175      -0.00000000       
9                 0.00000000        -78.15491667      -0.00000000       
10                0.00000000        -78.15341744      -0.00000000       
1                 0.00050000        -78.39339849      -0.01240409       
2                 0.00050000        -78.38462151      -0.03612163       
3                 0.00050000        -78.34877389      -0.01367774       
4                 0.00050000        -78.32419645      -0.01613475       
5                 0.00050000        -78.25414494      -0.01562076       
6                 0.00050000        -78.17670886      -0.03383802       
7                 0.00050000        -78.17589172      -0.03422220       
8                 0.00050000        -78.17072747      -0.00844175       
9                 0.00050000        -78.15602640      -0.01802201       
10                0.00050000        -78.15515686      -0.01907786       
1                 0.00100000        -78.39183522      -0.01504162       
2                 0.00100000        -78.37566901      -0.09396568       
3                 0.00100000        -78.34239604      -0.01407468       
4                 0.00100000        -78.33508721      -0.03467697       
5                 0.00100000        -78.25934906      -0.03038513       
6                 0.00100000        -78.17575124      -0.06929010       
7                 0.00100000        -78.17436639      -0.07108999       
8                 0.00100000        -78.17149132      -0.01660159       
9                 0.00100000        -78.15698402      -0.03442995       
10                0.00100000        -78.15671709      -0.03556593       
1                 0.00150000        -78.39070526      -0.01944036       
2                 0.00150000        -78.37209276      -0.15151220       
3                 0.00150000        -78.34164846      -0.01119612       
4                 0.00150000        -78.33044117      -0.05717420       
5                 0.00150000        -78.26834068      -0.04332334       
6                 0.00150000        -78.17543782      -0.10483858       
7                 0.00150000        -78.17393085      -0.10805550       
8                 0.00150000        -78.17256761      -0.02443908       
9                 0.00150000        -78.15729743      -0.05074148       
10                0.00150000        -78.15718454      -0.05196156       
1                 0.00200000        -78.38985456      -0.02399163       
2                 0.00200000        -78.37029472      -0.20795433       
3                 0.00200000        -78.34100967      -0.01055954       
4                 0.00200000        -78.31953921      -0.08451000       
5                 0.00200000        -78.28127199      -0.05041692       
6                 0.00200000        -78.17531553      -0.14027767       
7                 0.00200000        -78.17377830      -0.14482211       
8                 0.00200000        -78.17379596      -0.03199333       
9                 0.00200000        -78.15741972      -0.06716241       
10                0.00200000        -78.15736693      -0.06855533       
1                 0.00250000        -78.38919858      -0.02863436       
2                 0.00250000        -78.36921575      -0.26382154       
3                 0.00250000        -78.34021181      -0.01051688       
4                 0.00250000        -78.31337351      -0.11907721       
5                 0.00250000        -78.28864724      -0.05037295       
6                 0.00250000        -78.17525682      -0.17564889       
7                 0.00250000        -78.17508966      -0.03934485       
8                 0.00250000        -78.17371339      -0.18147942       
9                 0.00250000        -78.15747843      -0.08365120       
10                0.00250000        -78.15746139      -0.08525677       
1                 0.00300000        -78.38864089      -0.03335102       
2                 0.00300000        -78.36852061      -0.31933674       
3                 0.00300000        -78.33932392      -0.01063390       
4                 0.00300000        -78.31167334      -0.15189877       
5                 0.00300000        -78.29112792      -0.05232043       
6                 0.00300000        -78.17642021      -0.04657037       
7                 0.00300000        -78.17522439      -0.21098077       
8                 0.00300000        -78.17368360      -0.21807652       
9                 0.00300000        -78.15752085      -0.10201703       
10                0.00300000        -78.15751086      -0.10017935       
1                 0.00350000        -78.38812251      -0.03811535       
2                 0.00350000        -78.36805121      -0.37461171       
3                 0.00350000        -78.33841556      -0.01075109       
4                 0.00350000        -78.31093676      -0.18317140       
5                 0.00350000        -78.29236028      -0.05607842       
6                 0.00350000        -78.17779097      -0.05372774       
7                 0.00350000        -78.17520466      -0.24628853       
8                 0.00350000        -78.17367045      -0.25463780       
9                 0.00350000        -78.15756359      -0.11881206       
10                0.00350000        -78.15753059      -0.11673160       
1                 0.00400000        -78.38761244      -0.04290294       
2                 0.00400000        -78.36772185      -0.42971451       
3                 0.00400000        -78.33754290      -0.01081540       
4                 0.00400000        -78.31050280      -0.21361656       
5                 0.00400000        -78.29304881      -0.06089596       
6                 0.00400000        -78.17921934      -0.06085551       
7                 0.00400000        -78.17519179      -0.28158064       
8                 0.00400000        -78.17366609      -0.29117635       
9                 0.00400000        -78.15759712      -0.13562915       
10                0.00400000        -78.15754346      -0.13329951       
1                 0.00450000        -78.38709554      -0.04769434       
2                 0.00450000        -78.36748308      -0.48469024       
3                 0.00450000        -78.33674200      -0.01082283       
4                 0.00450000        -78.31020416      -0.24356918       
5                 0.00450000        -78.29336776      -0.06639232       
6                 0.00450000        -78.18072719      -0.06797751       
7                 0.00450000        -78.17518293      -0.31686204       
8                 0.00450000        -78.17366669      -0.32769973       
9                 0.00450000        -78.15762491      -0.15246102       
10                0.00450000        -78.15755232      -0.14987812       
1                 0.00500000        -78.38656549      -0.05247480       
2                 0.00500000        -78.36730507      -0.53957002       
3                 0.00500000        -78.33602858      -0.01078886       
4                 0.00500000        -78.30998135      -0.27319989       
5                 0.00500000        -78.29337508      -0.07235089       
6                 0.00500000        -78.18233683      -0.07510762       
7                 0.00500000        -78.17517658      -0.35213584       
8                 0.00500000        -78.17367021      -0.36421258       
9                 0.00500000        -78.15764873      -0.16930330       
10                0.00500000        -78.15755868      -0.16646434       
1                 0.00550000        -78.38602095      -0.05723336       
2                 0.00550000        -78.36716914      -0.59437591       
3                 0.00550000        -78.33540322      -0.01073234       
4                 0.00550000        -78.30980733      -0.30260557       
5                 0.00550000        -78.29309581      -0.07863695       
6                 0.00550000        -78.18406989      -0.08225356       
7                 0.00550000        -78.17517187      -0.38740404       
8                 0.00550000        -78.17367544      -0.40071791       
9                 0.00550000        -78.15766955      -0.18615317       
10                0.00550000        -78.15756339      -0.18305616       
1                 0.00600000        -78.38546359      -0.06196202       
2                 0.00600000        -78.36706316      -0.64912387       
3                 0.00600000        -78.33485810      -0.01066855       
4                 0.00600000        -78.30966741      -0.33184612       
5                 0.00600000        -78.29254168      -0.08516309       
6                 0.00600000        -78.18594774      -0.08941944       
7                 0.00600000        -78.17516828      -0.42266801       
8                 0.00600000        -78.17368167      -0.43721770       
9                 0.00600000        -78.15768799      -0.20300879       
10                0.00600000        -78.15756697      -0.19965221       
1                 0.00650000        -78.38489686      -0.06665520       
2                 0.00650000        -78.36697904      -0.70382571       
3                 0.00650000        -78.33438224      -0.01060766       
4                 0.00650000        -78.30955259      -0.36096105       
5                 0.00650000        -78.29171522      -0.09187117       
6                 0.00650000        -78.18799254      -0.09660736       
7                 0.00650000        -78.17516549      -0.45792870       
8                 0.00650000        -78.17368840      -0.47371334       
9                 0.00650000        -78.15770444      -0.21986886       
10                0.00650000        -78.15756977      -0.21625153       
1                 0.00700000        -78.38432523      -0.07130942       
2                 0.00700000        -78.36691120      -0.75849029       
3                 0.00700000        -78.33396454      -0.01055555       
4                 0.00700000        -78.30945690      -0.38997776       
5                 0.00700000        -78.29061022      -0.09872141       
6                 0.00700000        -78.19022871      -0.10381847       
7                 0.00700000        -78.17516327      -0.49318681       
8                 0.00700000        -78.17369535      -0.51020579       
9                 0.00700000        -78.15771918      -0.23673248       
10                0.00700000        -78.15757199      -0.23285344       
1                 0.00750000        -78.38375367      -0.07592290       
2                 0.00750000        -78.36685574      -0.81312439       
3                 0.00750000        -78.33359512      -0.01051505       
4                 0.00750000        -78.30937615      -0.41891596       
5                 0.00750000        -78.28921108      -0.10568525       
6                 0.00750000        -78.19268482      -0.11105368       
7                 0.00750000        -78.17516148      -0.52844284       
8                 0.00750000        -78.17370231      -0.54669574       
9                 0.00750000        -78.15773244      -0.25359898       
10                0.00750000        -78.15757378      -0.24945743       
1                 0.00800000        -78.38318725      -0.08049544       
2                 0.00800000        -78.36680985      -0.86773327       
3                 0.00800000        -78.33326572      -0.01048713       
4                 0.00800000        -78.30930729      -0.44779030       
5                 0.00800000        -78.28749142      -0.11274077       
6                 0.00800000        -78.19539627      -0.11831430       
7                 0.00800000        -78.17516001      -0.56369718       
8                 0.00800000        -78.17370914      -0.58318371       
9                 0.00800000        -78.15774441      -0.27046785       
10                0.00800000        -78.15757524      -0.26606310       
1                 0.00850000        -78.38263077      -0.08502807       
2                 0.00850000        -78.36677145      -0.92232105       
3                 0.00850000        -78.33296966      -0.01047164       
4                 0.00850000        -78.30924804      -0.47661193       
5                 0.00850000        -78.28541115      -0.11986929       
6                 0.00850000        -78.19840929      -0.12560280       
7                 0.00850000        -78.17515880      -0.59895012       
8                 0.00850000        -78.17371575      -0.61967006       
9                 0.00850000        -78.15775522      -0.28733870       
10                0.00850000        -78.15757646      -0.28267018       
1                 0.00900000        -78.38208856      -0.08952289       
2                 0.00900000        -78.36673901      -0.97689103       
3                 0.00900000        -78.33270164      -0.01046794       
