Trajectory for B2g states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -78.38164146      -0.00000000       
2                 0.00000000        -78.35645795      -0.00000000       
3                 0.00000000        -78.32717420      -0.00000000       
4                 0.00000000        -78.29728202      -0.00000000       
5                 0.00000000        -78.22968345      -0.00000000       
6                 0.00000000        -78.15386956      -0.00000000       
7                 0.00000000        -78.15370284      -0.00000000       
8                 0.00000000        -78.14670646      -0.00000000       
9                 0.00000000        -78.13097358      -0.00000000       
10                0.00000000        -78.12943069      -0.00000000       
1                 0.00300000        -78.36468911      -0.03336729       
2                 0.00300000        -78.34457799      -0.31935177       
3                 0.00300000        -78.32041114      -0.00914282       
4                 0.00300000        -78.28783694      -0.15184511       
5                 0.00300000        -78.26853334      -0.05331872       
6                 0.00300000        -78.15277956      -0.04677905       
7                 0.00300000        -78.15124061      -0.21132542       
8                 0.00300000        -78.14968022      -0.21829392       
9                 0.00300000        -78.13360250      -0.10025077       
10                0.00300000        -78.13357079      -0.10207348       
