L z 0 1 2 3 4 5 6 7 8 9
3.449 0.538462 0.959159 2.166289 4.157453 11.835197 11.835198 11.928725 11.928756 12.001583 12.001685 12.926559
2.9388 0.583333 1.033932 2.225502 4.380996 11.965039 11.965041 12.071106 12.071154 12.130418 12.130519 13.064698
2.5339 0.628205 1.106925 2.278099 4.613451 12.093682 12.093684 12.212307 12.212380 12.253735 12.253832 13.197741
2.2073 0.673077 1.177868 2.326841 4.851642 12.221278 12.221280 12.352280 12.352385 12.372080 12.372167 13.325681
1.94 0.717949 1.246483 2.373717 5.093245 12.347986 12.347988 12.486179 12.486248 12.490980 12.491131 13.448828
1.7185 0.762821 1.312487 2.420155 5.336568 12.473940 12.473943 12.596955 12.597013 12.628338 12.628538 13.567921
1.5329 0.807692 1.375625 2.467192 5.580386 12.599298 12.599302 12.705646 12.705690 12.764314 12.764575 13.684213
1.3758 0.852564 1.435681 2.515590 5.823833 12.724215 12.724220 12.813826 12.813856 12.898870 12.899202 13.799458
1.2416 0.897436 1.492483 2.565899 6.066291 12.848810 12.848815 12.923271 12.923291 13.031935 13.032348 13.915718
1.1262 0.942308 1.545984 2.618496 6.307457 12.973234 12.973240 13.035520 13.035533 13.163484 13.163986 14.034843
1.0261 0.987179 1.596246 2.673536 6.547208 13.097588 13.097595 13.150609 13.150621 13.293441 13.294043 14.157171
0.9389 1.032051 1.643463 2.730950 6.785607 13.221992 13.222000 13.265700 13.265724 13.421769 13.422480 14.280115
0.8622 1.076923 1.687845 2.790479 7.022683 13.346562 13.346571 13.375172 13.375220 13.548434 13.549266 14.398251
0.7946 1.121795 1.729504 2.851814 7.258266 13.471398 13.471408 13.473664 13.473745 13.673401 13.674369 14.506374
0.7347 1.166667 1.768465 2.914760 7.492018 13.559524 13.559644 13.596634 13.596646 13.796674 13.797796 14.602947
0.6813 1.211538 1.804729 2.979224 7.723582 13.634863 13.635028 13.722400 13.722413 13.918254 13.919557 14.690157
0.6335 1.25641 1.838351 3.045147 7.952713 13.703194 13.703409 13.848805 13.848819 14.038123 14.039642 14.771549
0.5906 1.301282 1.869461 3.112457 8.179297 13.767570 13.767840 13.975965 13.975981 14.156287 14.158066 14.850173
0.5518 1.346154 1.898237 3.181043 8.403316 13.830031 13.830360 14.103987 14.104004 14.272751 14.274848 14.928045
0.5168 1.391026 1.924869 3.250751 8.624764 13.891756 13.892149 14.232926 14.232945 14.387501 14.389983 15.006309
0.485 1.435897 1.949557 3.321434 8.843703 13.953421 13.953882 14.362847 14.362868 14.500557 14.503501 15.085600
0.4561 1.480769 1.972488 3.392937 9.060184 14.015421 14.015955 14.493780 14.493802 14.611940 14.615435 15.166269
0.4296 1.525641 1.993832 3.465101 9.274229 14.078001 14.078611 14.625685 14.625709 14.721651 14.725794 15.248518
0.4054 1.570513 2.013750 3.537799 9.485919 14.141386 14.142076 14.758524 14.758548 14.829735 14.834631 15.332535
0.3832 1.615385 2.032378 3.610894 9.695274 14.205776 14.206550 14.892165 14.892189 14.936203 14.941962 15.418481
0.3628 1.660256 2.049846 3.684276 9.902351 14.271415 14.272276 15.026460 15.026473 15.041104 15.047837 15.506568
0.3439 1.705128 2.066266 3.757848 10.107199 14.338586 14.339538 15.144426 15.152271 15.161218 15.161284 15.597050
0.3265 1.75 2.081736 3.831513 10.309855 14.407598 14.408645 15.246276 15.255356 15.296184 15.296232 15.690203
0.3104 1.794872 2.096347 3.905196 10.510368 14.478826 14.479972 15.346649 15.357094 15.431105 15.431152 15.786378
0.2955 1.839744 2.110179 3.978828 10.708783 14.552622 14.553874 15.445595 15.457540 15.565717 15.565766 15.885901
0.2815 1.884615 2.123304 4.052347 10.905148 14.629534 14.630902 15.543145 15.556731 15.699736 15.699788 15.989295
0.2686 1.929487 2.135790 4.125701 11.099512 14.709945 14.711439 15.639343 15.654712 15.832917 15.832972 16.096917
0.2565 1.974359 2.147700 4.198850 11.291934 14.794244 14.795882 15.734233 15.751535 15.965044 15.965102 16.209137
0.2453 2.019231 2.159091 4.271744 11.482444 14.882662 14.884467 15.827838 15.847223 16.095908 16.095969 16.326154
0.2347 2.064103 2.170024 4.344365 11.671130 14.975197 14.977203 15.920213 15.941836 16.225381 16.225446 16.447949
0.2248 2.108974 2.180554 4.416676 11.858027 15.071367 15.073617 16.011379 16.035400 16.353336 16.353405 16.574007
0.2156 2.153846 2.190740 4.488665 12.043201 15.170026 15.172580 16.101378 16.127959 16.479712 16.479785 16.703161
0.2069 2.198718 2.200641 4.560326 12.226731 15.269083 15.272017 16.190254 16.219564 16.604490 16.604568 16.833295
0.1987 2.24359 2.210310 4.631644 12.408648 15.365258 15.368664 16.278027 16.310239 16.727650 16.727732 16.961098
0.1909 2.288462 2.219798 4.702623 12.589005 15.454145 15.458121 16.364735 16.400028 16.849227 16.849314 17.082138
0.1837 2.333333 2.229149 4.773269 12.767833 15.530605 15.535241 16.450418 16.488974 16.969279 16.969371 17.191251
