Trajectory for B2 states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -78.91049244      -0.00000000       
2                 0.00000000        -78.90532342      -0.00000000       
3                 0.00000000        -78.88732442      -0.00000000       
4                 0.00000000        -78.87969916      -0.00000000       
5                 0.00000000        -78.84587538      -0.00000000       
6                 0.00000000        -78.84422546      -0.00000000       
7                 0.00000000        -78.81090353      -0.00000000       
8                 0.00000000        -78.77336114      -0.00000000       
9                 0.00000000        -78.74796416      -0.00000000       
10                0.00000000        -78.72798798      -0.00000000       
1                 0.00300000        -78.88815464      -0.12431208       
2                 0.00300000        -78.88793239      -0.06542615       
3                 0.00300000        -78.87130641      -0.28747558       
4                 0.00300000        -78.86948886      -0.32631086       
5                 0.00300000        -78.83077121      -0.04714756       
6                 0.00300000        -78.82890522      -0.12987610       
7                 0.00300000        -78.82812527      -0.01606576       
8                 0.00300000        -78.81052396      -0.15031760       
9                 0.00300000        -78.78903131      -0.04971835       
10                0.00300000        -78.72891782      -0.02409137       
