Trajectory for B1 states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -78.91168134      -0.00000000       
2                 0.00000000        -78.90525776      -0.00000000       
3                 0.00000000        -78.89153585      -0.00000000       
4                 0.00000000        -78.87963366      -0.00000000       
5                 0.00000000        -78.85672152      -0.00000000       
6                 0.00000000        -78.84417704      -0.00000000       
7                 0.00000000        -78.81086865      -0.00000000       
8                 0.00000000        -78.80128904      -0.00000000       
9                 0.00000000        -78.75995598      -0.00000000       
10                0.00000000        -78.74791231      -0.00000000       
1                 0.00300000        -78.88961736      -0.02372581       
2                 0.00300000        -78.88699811      -0.09312011       
3                 0.00300000        -78.87297329      -0.32186830       
4                 0.00300000        -78.87120911      -0.27989654       
5                 0.00300000        -78.85491537      -0.03363645       
6                 0.00300000        -78.84029001      -0.14031045       
7                 0.00300000        -78.82803703      -0.01589384       
8                 0.00300000        -78.81388216      -0.14577233       
9                 0.00300000        -78.78802581      -0.05028600       
10                0.00300000        -78.76308493      -0.03352735       
