Trajectory for A2 states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -78.90534413      -0.00000000       
2                 0.00000000        -78.87970306      -0.00000000       
3                 0.00000000        -78.84425968      -0.00000000       
4                 0.00000000        -78.81095695      -0.00000000       
5                 0.00000000        -78.74800358      -0.00000000       
6                 0.00000000        -78.73333784      -0.00000000       
7                 0.00000000        -78.66845999      -0.00000000       
8                 0.00000000        -78.63163241      -0.00000000       
9                 0.00000000        -78.60956952      -0.00000000       
10                0.00000000        -78.59674332      -0.00000000       
1                 0.00300000        -78.88829029      -0.04184438       
2                 0.00300000        -78.86841102      -0.31637816       
3                 0.00300000        -78.82846855      -0.01577522       
4                 0.00300000        -78.81096577      -0.15203563       
5                 0.00300000        -78.78641936      -0.05051556       
6                 0.00300000        -78.73333807      -0.01695950       
7                 0.00300000        -78.67410111      -0.04618486       
8                 0.00300000        -78.62821886      -0.05436535       
9                 0.00300000        -78.60964016      -0.21670441       
10                0.00300000        -78.60015730      -0.19752660       
