Trajectory for A2 states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -78.88460144      -0.00000000       
2                 0.00000000        -78.84318984      -0.00000000       
3                 0.00000000        -78.80367363      -0.00000000       
4                 0.00000000        -78.80251962      -0.00000000       
5                 0.00000000        -78.79889846      -0.00000000       
6                 0.00000000        -78.79827341      -0.00000000       
7                 0.00000000        -78.79552718      -0.00000000       
8                 0.00000000        -78.79291194      -0.00000000       
9                 0.00000000        -78.79155398      -0.00000000       
10                0.00000000        -78.79067112      -0.00000000       
1                 0.00300000        -78.87594357      -0.04549621       
2                 0.00300000        -78.85137862      -0.28604849       
3                 0.00300000        -78.79990903      -0.22953303       
4                 0.00300000        -78.79895187      -0.32940285       
5                 0.00300000        -78.79890898      -0.32751820       
6                 0.00300000        -78.79695028      -0.31301054       
7                 0.00300000        -78.79722654      -0.21295056       
8                 0.00300000        -78.79545048      -0.31291452       
9                 0.00300000        -78.79467330      -0.31598723       
10                0.00300000        -78.79242793      -0.33989582       
