Trajectory for B1 states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -78.90660675      -0.00000000       
2                 0.00000000        -78.90017010      -0.00000000       
3                 0.00000000        -78.88641754      -0.00000000       
4                 0.00000000        -78.87469796      -0.00000000       
5                 0.00000000        -78.85103003      -0.00000000       
6                 0.00000000        -78.84074676      -0.00000000       
7                 0.00000000        -78.80937468      -0.00000000       
8                 0.00000000        -78.79274222      -0.00000000       
9                 0.00000000        -78.75382439      -0.00000000       
10                0.00000000        -78.74492277      -0.00000000       
1                 0.00300000        -78.88212352      -0.02393722       
2                 0.00300000        -78.87986262      -0.03150395       
3                 0.00300000        -78.86713088      -0.32277354       
4                 0.00300000        -78.86370388      -0.30984369       
5                 0.00300000        -78.84957012      -0.03019719       
6                 0.00300000        -78.83497251      -0.12856416       
7                 0.00300000        -78.82970832      -0.01358162       
8                 0.00300000        -78.81172829      -0.14107215       
9                 0.00300000        -78.78663199      -0.04632505       
10                0.00300000        -78.75510108      -0.02541155       
