Trajectory for B2 states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -78.90163591      -0.00000000       
2                 0.00000000        -78.89639954      -0.00000000       
3                 0.00000000        -78.87865397      -0.00000000       
4                 0.00000000        -78.87085160      -0.00000000       
5                 0.00000000        -78.83824139      -0.00000000       
6                 0.00000000        -78.83725650      -0.00000000       
7                 0.00000000        -78.80727010      -0.00000000       
8                 0.00000000        -78.76551898      -0.00000000       
9                 0.00000000        -78.74108913      -0.00000000       
10                0.00000000        -78.71820218      -0.00000000       
1                 0.00300000        -78.87559392      -0.04149819       
2                 0.00300000        -78.87281818      -0.08979737       
3                 0.00300000        -78.86093050      -0.32500427       
4                 0.00300000        -78.86082241      -0.30246308       
5                 0.00300000        -78.82804149      -0.01209205       
6                 0.00300000        -78.82528505      -0.12064957       
7                 0.00300000        -78.82229129      -0.04695193       
8                 0.00300000        -78.80754156      -0.14469329       
9                 0.00300000        -78.78223862      -0.04611099       
10                0.00300000        -78.71955630      -0.02072668       
