Trajectory for A2 states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -78.90290660      -0.00000000       
2                 0.00000000        -78.87738217      -0.00000000       
3                 0.00000000        -78.84328946      -0.00000000       
4                 0.00000000        -78.81143984      -0.00000000       
5                 0.00000000        -78.74717044      -0.00000000       
6                 0.00000000        -78.73172094      -0.00000000       
7                 0.00000000        -78.71862044      -0.00000000       
8                 0.00000000        -78.70338932      -0.00000000       
9                 0.00000000        -78.70100660      -0.00000000       
10                0.00000000        -78.67692691      -0.00000000       
1                 0.00300000        -78.88576154      -0.03296677       
2                 0.00300000        -78.86846717      -0.31357018       
3                 0.00300000        -78.82990609      -0.01369223       
4                 0.00300000        -78.80922337      -0.15142559       
5                 0.00300000        -78.78880584      -0.04936146       
6                 0.00300000        -78.73174271      -0.01595258       
7                 0.00300000        -78.70921200      -0.16112270       
8                 0.00300000        -78.70416492      -0.05212479       
9                 0.00300000        -78.69887331      -0.21563664       
10                0.00300000        -78.68769579      -0.05148562       
