Trajectory for B2 states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -78.88541185      -0.00000000       
2                 0.00000000        -78.88025237      -0.00000000       
3                 0.00000000        -78.86228220      -0.00000000       
4                 0.00000000        -78.85476515      -0.00000000       
5                 0.00000000        -78.82147878      -0.00000000       
6                 0.00000000        -78.82089811      -0.00000000       
7                 0.00000000        -78.79048546      -0.00000000       
8                 0.00000000        -78.74854536      -0.00000000       
9                 0.00000000        -78.72522624      -0.00000000       
10                0.00000000        -78.70320736      -0.00000000       
1                 0.00300000        -78.86307691      -0.12432822       
2                 0.00300000        -78.86286991      -0.06543862       
3                 0.00300000        -78.84620950      -0.28747567       
4                 0.00300000        -78.84443513      -0.32631515       
5                 0.00300000        -78.80967363      -0.01273212       
6                 0.00300000        -78.80589621      -0.04679347       
7                 0.00300000        -78.80401750      -0.12978411       
8                 0.00300000        -78.78581775      -0.15032864       
9                 0.00300000        -78.76641933      -0.05143011       
10                0.00300000        -78.70413703      -0.02406805       
