Trajectory for B1 states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -78.88685988      -0.00000000       
2                 0.00000000        -78.88040313      -0.00000000       
3                 0.00000000        -78.86684457      -0.00000000       
4                 0.00000000        -78.85492321      -0.00000000       
5                 0.00000000        -78.83221882      -0.00000000       
6                 0.00000000        -78.82172023      -0.00000000       
7                 0.00000000        -78.79081118      -0.00000000       
8                 0.00000000        -78.77705040      -0.00000000       
9                 0.00000000        -78.73557029      -0.00000000       
10                0.00000000        -78.72547714      -0.00000000       
1                 0.00300000        -78.86478697      -0.02375421       
2                 0.00300000        -78.86213912      -0.09314137       
3                 0.00300000        -78.84818451      -0.32185163       
4                 0.00300000        -78.84633688      -0.27991070       
5                 0.00300000        -78.83068032      -0.03300377       
6                 0.00300000        -78.81597308      -0.13972726       
7                 0.00300000        -78.81002924      -0.01251808       
8                 0.00300000        -78.78937442      -0.14578622       
9                 0.00300000        -78.76573467      -0.05190485       
10                0.00300000        -78.73863965      -0.03333140       
