Trajectory for A2 states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -78.88046288      -0.00000000       
2                 0.00000000        -78.85497263      -0.00000000       
3                 0.00000000        -78.82177934      -0.00000000       
4                 0.00000000        -78.79087803      -0.00000000       
5                 0.00000000        -78.72552932      -0.00000000       
6                 0.00000000        -78.70879282      -0.00000000       
7                 0.00000000        -78.64420102      -0.00000000       
8                 0.00000000        -78.59991634      -0.00000000       
9                 0.00000000        -78.59819251      -0.00000000       
10                0.00000000        -78.57541089      -0.00000000       
1                 0.00300000        -78.86339524      -0.04181260       
2                 0.00300000        -78.84351590      -0.31637170       
3                 0.00300000        -78.81021252      -0.01225333       
4                 0.00300000        -78.78431803      -0.15132301       
5                 0.00300000        -78.76355510      -0.05348036       
6                 0.00300000        -78.70879294      -0.01691241       
7                 0.00300000        -78.64999524      -0.04656572       
8                 0.00300000        -78.59991635      -0.05668009       
9                 0.00300000        -78.59736272      -0.21623467       
10                0.00300000        -78.57907173      -0.10417593       
