Trajectory for B1 states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -78.88581783      -0.00000000       
2                 0.00000000        -78.87939313      -0.00000000       
3                 0.00000000        -78.86564420      -0.00000000       
4                 0.00000000        -78.85395154      -0.00000000       
5                 0.00000000        -78.83039631      -0.00000000       
6                 0.00000000        -78.82117492      -0.00000000       
7                 0.00000000        -78.79083747      -0.00000000       
8                 0.00000000        -78.77273867      -0.00000000       
9                 0.00000000        -78.73309931      -0.00000000       
10                0.00000000        -78.72500214      -0.00000000       
1                 0.00300000        -78.86224554      -0.02437759       
2                 0.00300000        -78.85644131      -0.03931857       
3                 0.00300000        -78.84644036      -0.32229628       
4                 0.00300000        -78.84318540      -0.30371551       
5                 0.00300000        -78.82894766      -0.03022661       
6                 0.00300000        -78.81367575      -0.12621223       
7                 0.00300000        -78.81195562      -0.01160232       
8                 0.00300000        -78.79369365      -0.13915176       
9                 0.00300000        -78.76682284      -0.04666052       
10                0.00300000        -78.73464738      -0.02618127       
