Trajectory for B2 states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -78.87704793      -0.00000000       
2                 0.00000000        -78.87182048      -0.00000000       
3                 0.00000000        -78.85407179      -0.00000000       
4                 0.00000000        -78.84640707      -0.00000000       
5                 0.00000000        -78.81587360      -0.00000000       
6                 0.00000000        -78.81286985      -0.00000000       
7                 0.00000000        -78.78583875      -0.00000000       
8                 0.00000000        -78.74104750      -0.00000000       
9                 0.00000000        -78.71789636      -0.00000000       
10                0.00000000        -78.69371898      -0.00000000       
1                 0.00300000        -78.85103362      -0.04149904       
2                 0.00300000        -78.84822618      -0.08981231       
3                 0.00300000        -78.83634081      -0.32498069       
4                 0.00300000        -78.83624336      -0.30246509       
5                 0.00300000        -78.80859709      -0.01016714       
6                 0.00300000        -78.80084507      -0.12050814       
7                 0.00300000        -78.79777964      -0.04676920       
8                 0.00300000        -78.78316961      -0.14464753       
9                 0.00300000        -78.75928857      -0.04724692       
10                0.00300000        -78.69506837      -0.02068362       
