Trajectory for A2 states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -78.87904077      -0.00000000       
2                 0.00000000        -78.85363777      -0.00000000       
3                 0.00000000        -78.82138162      -0.00000000       
4                 0.00000000        -78.79085421      -0.00000000       
5                 0.00000000        -78.72485924      -0.00000000       
6                 0.00000000        -78.70802081      -0.00000000       
7                 0.00000000        -78.68698936      -0.00000000       
8                 0.00000000        -78.67174983      -0.00000000       
9                 0.00000000        -78.66925877      -0.00000000       
10                0.00000000        -78.64508674      -0.00000000       
1                 0.00300000        -78.86190274      -0.03297405       
2                 0.00300000        -78.84458928      -0.31356762       
3                 0.00300000        -78.81114227      -0.01162527       
4                 0.00300000        -78.78561024      -0.15140012       
5                 0.00300000        -78.76650143      -0.05063832       
6                 0.00300000        -78.70804232      -0.01593434       
7                 0.00300000        -78.67714476      -0.16010969       
8                 0.00300000        -78.67263677      -0.05104855       
9                 0.00300000        -78.66721636      -0.21618569       
10                0.00300000        -78.65609294      -0.05016820       
