Trajectory for A2 states:
State             eta               Uncorr_Re         Uncorr_Im         
1                 0.00000000        -78.87904078      -0.00000000       
2                 0.00000000        -78.85363778      -0.00000000       
3                 0.00000000        -78.82138163      -0.00000000       
4                 0.00000000        -78.79085422      -0.00000000       
5                 0.00000000        -78.72485925      -0.00000000       
6                 0.00000000        -78.70802082      -0.00000000       
7                 0.00000000        -78.68698939      -0.00000000       
8                 0.00000000        -78.67174986      -0.00000000       
9                 0.00000000        -78.66925880      -0.00000000       
10                0.00000000        -78.64508677      -0.00000000       
1                 0.00300000        -78.86190276      -0.03297405       
2                 0.00300000        -78.84458930      -0.31356762       
3                 0.00300000        -78.81114228      -0.01162527       
4                 0.00300000        -78.78561025      -0.15140012       
5                 0.00300000        -78.76650144      -0.05063832       
6                 0.00300000        -78.70804232      -0.01593434       
7                 0.00300000        -78.67714478      -0.16010958       
8                 0.00300000        -78.67263680      -0.05104852       
9                 0.00300000        -78.66721640      -0.21618576       
10                0.00300000        -78.65609298      -0.05016817       
