L z 0 1 2 3 4 5 6 7 8 9
3.24 0.555556 0.030339 0.364034 1.628487 3.146030 3.825346 4.476182 4.583688 5.208930 5.488883 5.839088
2.9388 0.583333 0.127507 0.462259 1.702756 3.386511 3.813635 4.462017 4.819844 5.184675 5.454199 5.818880
2.6777 0.611111 0.230252 0.564889 1.781499 3.629743 3.806953 4.451677 5.059902 5.151832 5.448157 5.789034
2.4499 0.638889 0.335777 0.668761 1.863091 3.800391 3.881369 4.449171 5.109570 5.311751 5.466428 5.757196
2.25 0.666667 0.439836 0.769276 1.944870 3.816831 4.120563 4.459971 5.086051 5.496911 5.560925 5.735144
2.0736 0.694444 0.537394 0.861129 2.023614 3.850448 4.355287 4.489908 5.081238 5.552336 5.714924 5.812611
1.9172 0.722222 0.624669 0.940445 2.096877 3.906795 4.541253 4.579846 5.099250 5.619583 5.733065 6.041725
1.7778 0.75 0.700958 1.006615 2.164171 3.982362 4.610403 4.793245 5.139133 5.697870 5.766926 6.266055
1.6531 0.777778 0.768296 1.061833 2.226753 4.068780 4.689013 4.997352 5.196609 5.783519 5.816686 6.403486
1.541 0.805556 0.829551 1.109066 2.286431 4.158076 4.769453 5.194136 5.266532 5.873397 5.877279 6.484455
1.44 0.833333 0.887052 1.150667 2.344708 4.245863 4.847516 5.339850 5.389524 5.943707 5.965696 6.567056
1.3486 0.861111 0.942307 1.188141 2.402577 4.331104 4.922239 5.419972 5.577629 6.012251 6.059653 6.650565
1.2656 0.888889 0.996182 1.222375 2.460620 4.414395 4.994245 5.499802 5.763971 6.080588 6.155017 6.734716
1.1901 0.916667 1.049163 1.253914 2.519144 4.496695 5.064510 5.578917 5.948198 6.147535 6.251650 6.819377
1.1211 0.944444 1.101521 1.283120 2.578286 4.578763 5.133817 5.656885 6.130511 6.212622 6.349384 6.904396
1.058 0.972222 1.153418 1.310264 2.638093 4.661096 5.202683 5.733612 6.275773 6.311074 6.448022 6.989602
1.0 1.0 1.204943 1.335557 2.698547 4.743941 5.271390 5.809150 6.337077 6.489992 6.547330 7.074794
0.9467 1.027778 1.256154 1.359181 2.759598 4.827410 5.340093 5.883608 6.396683 6.647068 6.667355 7.159790
0.8975 1.055556 1.307090 1.381294 2.821184 4.911543 5.408884 5.957105 6.454763 6.747057 6.843190 7.244438
0.8521 1.083333 1.357772 1.402036 2.883230 4.996337 5.477821 6.029739 6.511478 6.847086 7.017569 7.328611
0.81 1.111111 1.408220 1.421546 2.945675 5.081809 5.546994 6.101608 6.566998 6.947016 7.190538 7.412242
0.771 1.138889 1.439883 1.458493 3.008448 5.167955 5.616488 6.172778 6.621473 7.046702 7.362136 7.495275
0.7347 1.166667 1.457226 1.508523 3.071481 5.254789 5.686420 6.243295 6.675055 7.146018 7.532381 7.577689
0.7009 1.194444 1.473622 1.558357 3.134708 5.342332 5.756932 6.313195 6.727896 7.244842 7.659465 7.701323
0.6694 1.222222 1.489158 1.608001 3.198082 5.430639 5.828217 6.382512 6.780169 7.343075 7.713404 7.740678
0.64 1.25 1.503909 1.657454 3.261546 5.519750 5.900482 6.451260 6.832053 7.440601 7.715412 7.821354
0.6125 1.277778 1.517938 1.706717 3.325051 5.609712 5.973964 6.519447 6.883746 7.537299 7.717727 7.901568
0.5867 1.305556 1.531305 1.755789 3.388551 5.700565 6.048927 6.587078 6.935475 7.633038 7.720348 7.981414
0.5625 1.333333 1.544063 1.804667 3.452004 5.792318 6.125637 6.654153 6.987499 7.723268 7.727670 8.061001
0.5398 1.361111 1.556265 1.853358 3.515383 5.913514 6.271879 6.720687 7.040125 7.726475 7.821049 8.140805
0.5184 1.388889 1.567956 1.901858 3.578652 5.983463 6.285397 6.786689 7.093689 7.729952 7.914129 8.219983
0.4983 1.416667 1.579178 1.950166 3.641781 6.072474 6.368854 6.852180 7.148570 7.733672 8.003299 8.240971
0.4793 1.444444 1.589975 1.998279 3.704743 6.552455 6.918098 7.041942 7.205170 7.737599 8.091765 8.259067
0.4614 1.472222 1.600388 2.046204 3.767525 7.263905 7.325969 7.741687 8.179462 8.278693 8.572991 9.162547
0.4444 1.5 1.610457 2.093940 3.830107 6.404157 7.046348 7.227940 7.325125 7.745876 8.262400 8.299766
0.4284 1.527778 1.620223 2.141488 3.892476 6.831661 7.151110 7.437591 7.750096 8.322055 8.349407 8.625991
0.4133 1.555556 1.629725 2.188851 3.954620 7.041944 7.173060 7.455589 7.754268 8.345129 8.463041 8.735985
0.3989 1.583333 1.639002 2.236029 4.016531 7.404892 7.534715 7.758307 8.368320 8.500392 8.713139 8.789514
0.3853 1.611111 1.648092 2.283032 4.078214 6.881071 6.995929 7.295116 7.593922 7.762130 8.390737 8.574773
0.3723 1.638889 1.657027 2.329860 4.139664 7.394501 7.672416 7.765660 8.411310 8.646862 9.245628 9.584066
0.36 1.666667 1.665836 2.376516 4.200881 7.768837 8.428931 9.662176 9.774421 10.393537 10.930114 11.555599
