L z 0 1 2 3 4 5 6 7 8 9
0.3265 1.75 2.448612 4.231201 6.647404 8.465774 9.590814 10.047123 10.330966 10.744376 11.631026 12.121246
0.3415 1.711111 2.437110 4.176110 6.626571 8.423198 9.590861 10.013971 10.269699 10.573429 11.529490 12.117361
0.2754 1.905556 2.487469 4.454792 6.747976 8.635503 9.590702 10.181302 10.574214 11.414851 12.064633 12.124918
0.6881 1.205556 2.169578 3.524743 6.440959 7.900685 8.209191 9.592647 9.601098 9.873711 10.299225 10.838357
0.5102 1.4 2.305539 3.757345 6.501160 8.091866 9.150301 9.591698 9.755004 9.870103 10.774260 11.637095
0.572 1.322222 2.257401 3.661238 6.477347 8.013409 8.779137 9.592570 9.691853 9.832173 10.591447 11.465033
1.148 0.933333 1.884422 3.236779 6.295865 6.829799 7.629253 8.574781 9.302120 9.376843 9.612027 10.167543
0.4347 1.516667 2.364731 3.908740 6.541184 8.213332 9.589962 9.696180 9.850835 9.990850 11.049075 11.863434
1.6531 0.777778 1.669216 3.083400 6.025225 6.217443 7.420396 8.026656 8.675218 9.243685 9.454897 9.620457
0.2354 2.061111 2.517856 4.681111 6.883100 8.802647 9.590918 10.317601 10.775815 12.055770 12.134692 12.555260
0.2445 2.022222 2.510864 4.624423 6.845815 8.760973 9.590823 10.283359 10.733426 11.902332 12.127399 12.426795
0.2035 2.216667 2.543054 4.907788 7.046694 8.974796 9.591648 10.455457 10.849040 12.123574 12.670069 12.723923
0.2542 1.983333 2.503503 4.567786 6.810844 8.719304 9.590757 10.249224 10.684695 11.741731 12.125984 12.302164
0.6072 1.283333 2.230328 3.614736 6.465724 7.975106 8.590915 9.593596 9.660488 9.832702 10.498034 11.309837
0.3576 1.672222 2.424741 4.121466 6.607153 8.380724 9.590901 9.980991 10.209198 10.401282 11.430104 12.104920
0.19 2.294444 2.554602 5.020823 7.122915 9.069778 9.592257 10.524811 10.818780 12.124818 12.604502 13.001164
0.1966 2.255556 2.548883 4.964341 7.086482 9.021193 9.591930 10.490105 10.838722 12.124185 12.647541 12.855918
0.6457 1.244444 2.201085 3.569253 6.453792 7.937517 8.400924 9.594689 9.629361 9.848387 10.401369 11.083148
0.3125 1.788889 2.459329 4.286673 6.669799 8.508369 9.590768 10.080439 10.392611 10.914010 11.734999 12.122961
1.4994 0.816667 1.726559 3.122591 6.223644 6.238578 7.476148 8.143845 8.830711 9.277805 9.617220 9.643525
0.4579 1.477778 2.346557 3.857384 6.527102 8.172393 9.513431 9.592958 9.818732 9.944468 10.956836 11.791173
0.7862 1.127778 2.099592 3.438349 6.409461 7.817313 7.832442 9.534665 9.590222 9.779133 10.066943 10.512515
1.058 0.972222 1.932120 3.275391 6.318761 7.029624 7.674718 8.767013 9.408783 9.464200 9.611159 10.329671
0.2645 1.944444 2.495721 4.511229 6.778246 8.677502 9.590717 10.215202 10.631179 11.579057 12.125332 12.181484
1.25 0.894444 1.834252 3.198724 6.274508 6.629230 7.580789 8.411809 9.142723 9.344312 9.613509 9.999043
0.2108 2.177778 2.537080 4.851176 7.005199 8.930196 9.591408 10.420877 10.847816 12.122863 12.540327 12.729831
0.2268 2.1 2.524525 4.737816 6.922459 8.844532 9.591046 10.351940 10.810121 12.117660 12.232210 12.687012
0.7347 1.166667 2.135750 3.481134 6.426451 7.864490 8.015872 9.565668 9.596433 9.876752 10.188744 10.618524
1.3662 0.855556 1.781611 3.160829 6.254470 6.428139 7.529661 8.270462 8.985977 9.311328 9.615453 9.824208
0.3934 1.594444 2.397047 4.013792 6.572050 8.296401 9.590891 9.915558 10.047328 10.098591 11.236752 12.000373
0.3748 1.633333 2.411419 4.067339 6.589021 8.338436 9.590919 9.948187 10.149138 10.228763 11.332611 12.062962
0.2186 2.138889 2.530918 4.794512 6.963416 8.886922 9.591209 10.386368 10.834603 12.121675 12.386093 12.733731
0.4133 1.555556 2.381521 3.960900 6.556137 8.254682 9.590744 9.873292 9.883141 10.041884 11.142311 11.933172
0.1837 2.333333 2.560242 5.077225 7.154327 9.120760 9.592633 10.559561 10.792529 12.125529 12.565274 13.105504
0.483 1.438889 2.326870 3.806898 6.513794 8.131892 9.333194 9.591790 9.786791 9.903727 10.865332 11.715945
0.9781 1.011111 1.977420 3.314815 6.342813 7.228648 7.717007 8.993874 9.440592 9.611247 9.626199 10.485344
0.2993 1.827778 2.469333 4.342466 6.693915 8.550899 9.590731 10.113914 10.454125 11.082304 11.841716 12.123886
0.8434 1.088889 2.061129 3.396345 6.389510 7.624107 7.793506 9.503177 9.506540 9.632582 9.931823 10.526048
0.907 1.05 2.020404 3.355144 6.366902 7.426855 7.756343 9.251748 9.472111 9.613674 9.783791 10.539364
0.287 1.866667 2.478692 4.398521 6.719916 8.593293 9.590708 10.147536 10.514897 11.249253 11.951485 12.124468
0.5398 1.361111 2.282428 3.708779 6.489071 8.052354 8.965595 9.591941 9.723361 9.845481 10.683184 11.553783
