L z 0 1 2 3 4 5 6 7 8 9
3.24 0.555556 1.304945 1.647122 2.934857 4.457878 5.941351 6.103639 6.812579 7.971810 8.466760 8.955477
2.9388 0.583333 1.362081 1.711922 2.977410 4.660414 6.100380 6.163024 6.881555 8.050550 8.612363 9.042101
2.6777 0.611111 1.420255 1.775791 3.020803 4.862355 6.112327 6.369322 6.949597 8.129377 8.757429 9.130349
2.4499 0.638889 1.479613 1.838678 3.065709 5.063885 6.119502 6.579957 7.016489 8.210494 8.903921 9.220780
2.25 0.666667 1.540295 1.900545 3.112757 5.265203 6.126959 6.789162 7.082561 8.298068 9.054298 9.313968
2.0736 0.694444 1.602356 1.961317 3.162507 5.466498 6.135769 6.990983 7.152103 8.399169 9.210992 9.410534
1.9172 0.722222 1.665564 2.020734 3.215256 5.667703 6.146855 7.143817 7.264407 8.523823 9.374359 9.510660
1.7778 0.75 1.729092 2.078077 3.270688 5.868139 6.160658 7.210651 7.453623 8.681553 9.531549 9.598580
1.6531 0.777778 1.791554 2.132171 3.327725 6.066060 6.176801 7.250048 7.659448 8.872308 9.583988 9.724491
1.541 0.805556 1.851664 2.181899 3.385015 6.189128 6.264256 7.279315 7.865748 9.078096 9.592679 9.853519
1.44 0.833333 1.908997 2.226860 3.441777 6.203490 6.454394 7.304945 8.069284 9.270142 9.597995 9.961178
1.3486 0.861111 1.963997 2.267425 3.498073 6.214185 6.641836 7.330488 8.269338 9.428770 9.602794 10.040381
1.2656 0.888889 2.017379 2.304273 3.554386 6.222594 6.826313 7.357045 8.466087 9.548218 9.611668 10.084317
1.1901 0.916667 2.069704 2.338024 3.611181 6.229622 7.008218 7.384496 8.659867 9.596727 9.663570 10.109643
1.1211 0.944444 2.121283 2.369133 3.668728 6.235991 7.187508 7.412698 8.850887 9.603855 9.736778 10.136224
1.058 0.972222 2.172243 2.397937 3.727126 6.242181 7.360897 7.444689 9.039076 9.608032 9.799435 10.171655
1.0 1.0 2.222580 2.424699 3.786347 6.248482 7.456126 7.552533 9.223783 9.612709 9.853714 10.214667
0.9467 1.027778 2.272206 2.449678 3.846298 6.255063 7.485582 7.723731 9.402017 9.621162 9.902691 10.260172
0.8975 1.055556 2.320947 2.473178 3.906859 6.262021 7.510999 7.896508 9.549501 9.657376 9.948446 10.301100
0.8521 1.083333 2.368476 2.495627 3.967896 6.269412 7.534999 8.068253 9.594708 9.791623 9.992702 10.332140
0.81 1.111111 2.414163 2.517759 4.029282 6.277273 7.557986 8.238615 9.603777 9.950126 10.042347 10.355360
0.771 1.138889 2.456700 2.540959 4.090889 6.285624 7.580121 8.407493 9.607857 10.045259 10.150823 10.377767
0.7347 1.166667 2.493681 2.567689 4.152588 6.294482 7.601516 8.574828 9.610489 10.084706 10.291395 10.417048
0.7009 1.194444 2.522662 2.600435 4.214254 6.303860 7.622271 8.740590 9.612469 10.113669 10.364329 10.527148
0.6694 1.222222 2.544056 2.638803 4.275774 6.313769 7.642485 8.904752 9.614072 10.136630 10.391353 10.679145
0.64 1.25 2.560308 2.680332 4.337020 6.324220 7.662257 9.067273 9.615417 10.154362 10.410019 10.818999
0.6125 1.277778 2.573255 2.723125 4.397860 6.335218 7.681691 9.228090 9.616566 10.167304 10.426075 10.895782
0.5867 1.305556 2.583812 2.766165 4.458149 6.346768 7.700903 9.387108 9.617565 10.175877 10.440128 10.940095
0.5625 1.333333 2.592384 2.808888 4.517726 6.358865 7.720020 9.544098 9.618554 10.180444 10.451794 10.978585
0.5398 1.361111 2.599121 2.850933 4.576415 6.371496 7.739198 9.618691 9.699772 10.181217 10.460456 11.015250
0.5184 1.388889 2.604033 2.891999 4.634006 6.384625 7.758610 9.619355 9.852543 10.178215 10.465506 11.050963
0.4983 1.416667 2.607041 2.931804 4.690258 6.398187 7.778470 9.619731 10.002785 10.171328 10.466467 11.085993
0.4793 1.444444 2.608004 2.970058 4.744903 6.412071 7.799028 9.619920 10.142376 10.167613 10.463123 11.120436
0.4614 1.472222 2.606742 3.006466 4.797654 6.426105 7.820583 9.619922 10.139294 10.297445 10.455811 11.154339
0.4444 1.5 2.603061 3.040724 4.848215 6.440022 7.843468 9.619732 10.114325 10.428014 10.455287 11.187735
0.4284 1.527778 2.596791 3.072558 4.896316 6.453446 7.868025 9.619345 10.079907 10.427130 10.580266 11.220692
0.4133 1.555556 2.587841 3.101770 4.941762 6.465865 7.894554 9.618766 10.034764 10.411712 10.714671 11.253354
0.3989 1.583333 2.576263 3.128305 4.984503 6.476648 7.923203 9.618012 9.978410 10.395879 10.845518 11.286018
0.3853 1.611111 2.562318 3.152324 5.024706 6.485091 7.953830 9.617121 9.912134 10.381070 10.972179 11.319293
0.3723 1.638889 2.546533 3.174256 5.062804 6.490527 7.985809 9.616153 9.839577 10.368021 11.093885 11.354503
0.36 1.666667 2.529702 3.194814 5.099509 6.492490 8.017909 9.615190 9.766552 10.357022 11.208228 11.394975
