L z 0 1 2 3 4 5 6 7 8 9
3.24 0.555556 1.676797 3.090635 6.027954 6.042363 7.198828 7.860197 8.731112 9.037085 9.489523 9.577111
2.9388 0.583333 1.735190 3.130883 6.058669 6.234349 7.257160 7.979308 8.892853 9.073902 9.587407 9.684335
2.6777 0.611111 1.791440 3.170290 6.079909 6.436848 7.313491 8.107915 9.054655 9.110159 9.585634 9.872120
2.4499 0.638889 1.845399 3.209447 6.102156 6.639278 7.367636 8.251421 9.145653 9.218447 9.583824 10.011558
2.25 0.666667 1.896976 3.248838 6.125891 6.841192 7.419257 8.416892 9.180803 9.385011 9.582387 10.139729
2.0736 0.694444 1.946140 3.288839 6.151270 7.042381 7.467927 8.612226 9.215456 9.554298 9.581466 10.254981
1.9172 0.722222 1.992937 3.329689 6.177836 7.242754 7.513356 8.843224 9.249714 9.581273 9.723772 10.346990
1.7778 0.75 2.037426 3.371461 6.204359 7.442125 7.555792 9.107373 9.283661 9.582465 9.888725 10.396029
1.6531 0.777778 2.079643 3.414107 6.229207 7.593737 7.642536 9.317377 9.380903 9.589181 10.043940 10.386305
1.541 0.805556 2.119568 3.457541 6.251132 7.632704 7.839314 9.350929 9.548992 9.660592 10.186016 10.371609
1.44 0.833333 2.157141 3.501723 6.269822 7.670421 8.035516 9.384360 9.564924 9.754728 10.314527 10.476341
1.3486 0.861111 2.192322 3.546687 6.285796 7.708338 8.230206 9.417703 9.565880 9.751429 10.431472 10.700178
1.2656 0.888889 2.225110 3.592497 6.299916 7.746866 8.423174 9.450970 9.564286 9.725454 10.539847 10.950630
1.1901 0.916667 2.255554 3.639215 6.313012 7.786118 8.614310 9.484154 9.562244 9.709455 10.642540 11.183116
1.1211 0.944444 2.283742 3.686881 6.325711 7.826064 8.803581 9.517169 9.561144 9.708433 10.741804 11.385206
1.058 0.972222 2.309799 3.735509 6.338448 7.866645 8.990981 9.548830 9.562606 9.720826 10.839240 11.542255
1.0 1.0 2.333851 3.785081 6.351503 7.907790 9.176484 9.560038 9.585428 9.744344 10.935873 11.604075
0.9467 1.027778 2.356038 3.835558 6.365066 7.949446 9.359861 9.561949 9.618211 9.776975 11.032371 11.662500
0.8975 1.055556 2.376498 3.886883 6.379270 7.991574 9.535036 9.569776 9.651502 9.817006 11.129169 11.720398
0.8521 1.083333 2.395363 3.938995 6.394218 8.034136 9.561284 9.684862 9.724314 9.863224 11.226569 11.777844
0.81 1.111111 2.412770 3.991828 6.410013 8.077106 9.562535 9.718491 9.893804 9.922079 11.324833 11.834790
0.771 1.138889 2.428839 4.045313 6.426745 8.120439 9.563174 9.752197 9.964047 10.082632 11.424166 11.891070
0.7347 1.166667 2.443685 4.099376 6.444518 8.164085 9.563598 9.786017 10.021170 10.257564 11.524782 11.946274
0.7009 1.194444 2.457417 4.153946 6.463438 8.207979 9.563907 9.819952 10.079786 10.431543 11.626895 11.999166
0.6694 1.222222 2.470137 4.208963 6.483635 8.252054 9.564145 9.854007 10.139725 10.604176 11.730769 12.044987
0.64 1.25 2.481935 4.264362 6.505245 8.296227 9.564341 9.888180 10.200514 10.775405 11.836664 12.071383
0.6125 1.277778 2.492895 4.320082 6.528421 8.340413 9.564512 9.922467 10.261641 10.945213 11.944871 12.080496
0.5867 1.305556 2.503097 4.376067 6.553327 8.384531 9.564673 9.956864 10.322543 11.113594 12.055689 12.084119
0.5625 1.333333 2.512609 4.432263 6.580137 8.428507 9.564832 9.991364 10.382570 11.280546 12.086032 12.169490
0.5398 1.361111 2.521501 4.488629 6.609030 8.472296 9.564998 10.025966 10.440972 11.446043 12.087375 12.286534
0.5184 1.388889 2.529832 4.545119 6.640163 8.515870 9.565176 10.060663 10.496813 11.609994 12.088579 12.397777
0.4983 1.416667 2.537659 4.601692 6.673659 8.559243 9.565371 10.095447 10.548958 11.772072 12.090119 12.450297
0.4793 1.444444 2.545037 4.658309 6.709564 8.602479 9.565587 10.130311 10.596033 11.930722 12.093611 12.501503
0.4614 1.472222 2.552019 4.714947 6.747819 8.645712 9.565826 10.165252 10.636454 12.061057 12.123918 12.550485
0.4444 1.5 2.558654 4.771575 6.788178 8.689144 9.566093 10.200264 10.668472 12.082541 12.261361 12.594875
0.4284 1.527778 2.564993 4.828170 6.830153 8.733058 9.566390 10.235339 10.690375 12.085492 12.414678 12.629438
0.4133 1.555556 2.571082 4.884711 6.872949 8.777822 9.566717 10.270472 10.700793 12.086798 12.559070 12.650231
0.3989 1.583333 2.576968 4.941182 6.915423 8.823857 9.567076 10.305656 10.699135 12.087701 12.603091 12.739268
0.3853 1.611111 2.582694 4.997578 6.956115 8.871612 9.567466 10.340889 10.686017 12.088496 12.570656 12.867663
0.3723 1.638889 2.588299 5.053890 6.993327 8.921449 9.567889 10.376161 10.663537 12.089298 12.529530 12.933410
0.36 1.666667 2.593815 5.110110 7.025338 8.973548 9.568343 10.411460 10.635169 12.090166 12.491056 12.985110
