L z 0 1 2 3 4 5 6 7 8 9
3.24 0.555556 0.627671 1.931503 4.322724 4.911016 7.355374 7.412368 7.572196 7.669935 7.803616 8.056568
2.9388 0.583333 0.650931 1.940735 4.350165 5.066737 7.362217 7.403451 7.540734 7.671227 7.799550 8.034866
2.6777 0.611111 0.681247 1.959059 4.381046 5.236086 7.373201 7.399898 7.515583 7.675733 7.798075 8.022909
2.4499 0.638889 0.717147 1.985686 4.416893 5.415709 7.388173 7.402266 7.499588 7.685156 7.798323 8.021688
2.25 0.666667 0.756797 2.019267 4.458236 5.602553 7.406294 7.411143 7.494365 7.700450 7.799804 8.031076
2.0736 0.694444 0.798437 2.058304 4.504881 5.794013 7.422665 7.430101 7.500127 7.721776 7.802285 8.050203
1.9172 0.722222 0.840712 2.101441 4.556167 5.988066 7.439722 7.454064 7.515658 7.748210 7.805670 8.077617
1.7778 0.75 0.882718 2.147569 4.611212 6.183283 7.457765 7.479170 7.538510 7.777711 7.809881 8.111552
1.6531 0.777778 0.923901 2.195839 4.669117 6.378648 7.474640 7.504227 7.565695 7.807419 7.815090 8.150251
1.541 0.805556 0.963899 2.245651 4.729085 6.573357 7.489005 7.528673 7.594752 7.819413 7.837028 8.192265
1.44 0.833333 1.002448 2.296646 4.790472 6.766674 7.500840 7.552509 7.624386 7.824859 7.863583 8.236614
1.3486 0.861111 1.039369 2.348655 4.852800 6.957785 7.511148 7.576112 7.654310 7.830310 7.888397 8.282753
1.2656 0.888889 1.074559 2.401607 4.915725 7.145466 7.521633 7.599954 7.684720 7.835846 7.912120 8.330393
1.1901 0.916667 1.107984 2.455470 4.979005 7.326195 7.536138 7.624431 7.715903 7.841528 7.935455 8.379384
1.1211 0.944444 1.139664 2.510212 5.042475 7.474475 7.580176 7.649821 7.748068 7.847422 7.958918 8.429646
1.058 0.972222 1.169660 2.565799 5.106027 7.523764 7.676192 7.720018 7.781350 7.853613 7.982845 8.481172
1.0 1.0 1.198044 2.622177 5.169577 7.540977 7.703837 7.815466 7.860247 7.887979 8.007444 8.533999
0.9467 1.027778 1.224905 2.679282 5.233063 7.554731 7.732665 7.849941 7.868235 8.032136 8.054576 8.588245
0.8975 1.055556 1.250333 2.737046 5.296438 7.568419 7.762737 7.871251 7.890925 8.058658 8.212853 8.644099
0.8521 1.083333 1.274419 2.795394 5.359660 7.582851 7.794078 7.879862 7.927922 8.085631 8.360422 8.701795
0.81 1.111111 1.297256 2.854263 5.422707 7.598341 7.826719 7.888014 7.967064 8.113496 8.493022 8.761504
0.771 1.138889 1.318930 2.913580 5.485551 7.615051 7.860680 7.896514 8.007632 8.142330 8.607721 8.823059
0.7347 1.166667 1.339521 2.973278 5.548168 7.633093 7.895866 7.905657 8.049570 8.172220 8.704535 8.885761
0.7009 1.194444 1.359107 3.033290 5.610534 7.652564 7.914863 7.932999 8.092912 8.203269 8.786771 8.948605
0.6694 1.222222 1.377763 3.093563 5.672639 7.673568 7.925190 7.971175 8.137746 8.235609 8.858945 9.010849
0.64 1.25 1.395556 3.154039 5.734465 7.696209 7.936242 8.010950 8.184174 8.269386 8.924787 9.072252
0.6125 1.277778 1.412548 3.214666 5.795994 7.720604 7.948173 8.052351 8.232326 8.304770 8.986752 9.132958
0.5867 1.305556 1.428798 3.275394 5.857211 7.746882 7.961105 8.095456 8.282350 8.341953 9.046310 9.193288
0.5625 1.333333 1.444360 3.336177 5.918100 7.775174 7.975163 8.140345 8.334403 8.381138 9.104310 9.253610
0.5398 1.361111 1.459287 3.396981 5.978656 7.805621 7.990484 8.187111 8.388656 8.422555 9.161257 9.314314
0.5184 1.388889 1.473628 3.457768 6.038865 7.838344 8.007191 8.235818 8.445218 8.466446 9.217431 9.375766
0.4983 1.416667 1.487428 3.518502 6.098715 7.873431 8.025395 8.286501 8.503880 8.513312 9.272996 9.438302
0.4793 1.444444 1.500733 3.579150 6.158195 7.910905 8.045167 8.339130 8.559999 8.567942 9.328062 9.502193
0.4614 1.472222 1.513590 3.639695 6.217307 7.950697 8.066516 8.393599 8.612266 8.631584 9.382736 9.542232
0.4444 1.5 1.526044 3.700109 6.276048 7.992573 8.089341 8.449651 8.666233 8.698233 9.437142 9.542091
0.4284 1.527778 1.538141 3.760374 6.334418 8.036090 8.113393 8.506857 8.721883 8.766940 9.491457 9.541882
0.4133 1.555556 1.549927 3.820470 6.392425 8.080535 8.138231 8.564574 8.778396 8.836898 9.541623 9.545911
0.3989 1.583333 1.561449 3.880384 6.450078 8.124889 8.163188 8.621929 8.834481 8.906974 9.541318 9.600768
0.3853 1.611111 1.572752 3.940113 6.507402 8.167850 8.187390 8.677865 8.888450 8.975687 9.540968 9.656284
0.3723 1.638889 1.583878 3.999648 6.564415 8.207881 8.209808 8.731193 8.938311 9.041229 9.540575 9.712601
0.36 1.666667 1.594859 4.058980 6.621138 8.229352 8.243427 8.780748 8.982025 9.101663 9.540144 9.769663
