L z 0 1 2 3 4 5 6 7 8 9
2.4694 0.636364 0.792384 1.101323 1.271889 2.084617 2.496391 2.961659 4.170915 4.767860 4.918262 5.008149
2.1704 0.678788 0.838007 1.172406 1.340328 2.141038 2.558357 3.153391 4.322176 4.769537 5.066223 5.135178
1.9225 0.721212 0.883449 1.241627 1.405008 2.194675 2.616079 3.344710 4.475240 4.771689 5.124240 5.357112
1.7149 0.763636 0.928860 1.308854 1.465836 2.245901 2.671016 3.535813 4.628515 4.775514 5.182203 5.582345
1.5391 0.806061 0.974352 1.373960 1.522744 2.295164 2.724294 3.726784 4.754745 4.808011 5.240114 5.809547
1.389 0.848485 1.020012 1.436821 1.575687 2.342955 2.776782 3.917538 4.771260 4.951714 5.297970 6.037711
1.2599 0.890909 1.065894 1.497335 1.624663 2.389761 2.829161 4.107692 4.775789 5.108958 5.355767 6.266085
1.148 0.933333 1.112038 1.555441 1.669741 2.436036 2.881955 4.296189 4.781062 5.267661 5.413500 6.494176
1.0503 0.975758 1.158457 1.611135 1.711113 2.482152 2.935537 4.479490 4.791274 5.426501 5.471169 6.550693
0.9646 1.018182 1.205155 1.664474 1.749136 2.528390 2.990107 4.640724 4.823297 5.528761 5.584426 6.558544
0.889 1.060606 1.252119 1.715542 1.784304 2.574931 3.045696 4.724050 4.932784 5.586294 5.739761 6.569234
0.8219 1.10303 1.299344 1.764409 1.817140 2.621880 3.102237 4.745935 5.102997 5.643761 5.889739 6.570477
0.7622 1.145455 1.346810 1.811068 1.848038 2.669276 3.159658 4.753479 5.286433 5.701149 6.029683 6.568804
0.7087 1.187879 1.394495 1.855484 1.877235 2.717122 3.217950 4.757096 5.472157 5.758444 6.152387 6.567823
0.6607 1.230303 1.442366 1.897629 1.904874 2.765392 3.277150 4.759161 5.657076 5.815630 6.249458 6.567943
0.6173 1.272727 1.490389 1.931065 1.937525 2.814043 3.337304 4.760462 5.839343 5.872701 6.317188 6.569739
0.5782 1.315152 1.538519 1.955941 1.975214 2.863012 3.398428 4.761331 5.929618 6.016810 6.360399 6.574466
0.5426 1.357576 1.586715 1.979629 2.010789 2.912230 3.460507 4.761934 5.986409 6.185304 6.387408 6.585392
0.5102 1.4 1.634931 2.002265 2.044351 2.961628 3.523499 4.762362 6.043047 6.333843 6.404936 6.612382
0.4806 1.442424 1.683123 2.023977 2.076013 3.011137 3.587339 4.762671 6.099528 6.413712 6.439981 6.680089
0.4536 1.484848 1.731246 2.044880 2.105893 3.060696 3.651954 4.762896 6.155844 6.422305 6.486052 6.798739
0.4287 1.527273 1.779257 2.065078 2.134105 3.110248 3.717260 4.763060 6.211988 6.427441 6.504545 6.939154
0.4059 1.569697 1.827109 2.084661 2.160763 3.159744 3.783172 4.763180 6.267955 6.430793 6.513041 7.081451
0.3848 1.612121 1.874751 2.103715 2.185976 3.209140 3.849607 4.763267 6.323735 6.432923 6.517559 7.218018
0.3653 1.654545 1.922127 2.122324 2.209847 3.258401 3.916484 4.763330 6.379320 6.434174 6.520211 7.345204
0.3473 1.69697 1.969157 2.140584 2.232473 3.307494 3.983724 4.763375 6.433716 6.435763 6.521873 7.460786
0.3305 1.739394 2.015719 2.158630 2.253947 3.356392 4.051255 4.763407 6.434814 6.489955 6.522965 7.563452
0.315 1.781818 2.061592 2.176687 2.274350 3.405070 4.119002 4.763429 6.434542 6.523705 6.544933 7.652759
0.3005 1.824242 2.106320 2.195228 2.293767 3.453517 4.186912 4.763443 6.433979 6.524220 6.599710 7.716911
0.287 1.866667 2.148776 2.215379 2.312269 3.501716 4.254922 4.763452 6.433204 6.524586 6.654273 7.719406
0.2744 1.909091 2.186249 2.239857 2.329926 3.549658 4.322980 4.763457 6.432274 6.524850 6.708617 7.722022
0.2626 1.951515 2.215215 2.272187 2.346805 3.597339 4.391035 4.763459 6.431238 6.525042 6.762737 7.724749
0.2515 1.993939 2.236693 2.311357 2.362967 3.644762 4.459047 4.763458 6.430136 6.525184 6.816631 7.727575
0.2412 2.036364 2.254326 2.353729 2.378474 3.691935 4.526978 4.763457 6.429007 6.525290 6.870298 7.730491
0.2314 2.078788 2.270107 2.393383 2.397317 3.738875 4.594793 4.763454 6.427882 6.525370 6.923736 7.733485
0.2222 2.121212 2.284828 2.407755 2.441332 3.785607 4.662465 4.763451 6.426792 6.525431 6.976945 7.736545
0.2136 2.163636 2.298824 2.421645 2.485449 3.832161 4.729969 4.763447 6.425766 6.525478 7.029927 7.739660
0.2055 2.206061 2.312259 2.435107 2.529515 3.878577 4.763443 4.797288 6.424828 6.525514 7.082684 7.742820
0.1978 2.248485 2.325218 2.448196 2.573450 3.924892 4.763439 4.864406 6.424002 6.525543 7.135219 7.746015
0.1905 2.290909 2.337753 2.460959 2.617210 3.971146 4.763435 4.931311 6.423307 6.525566 7.187533 7.749236
0.1837 2.333333 2.349896 2.473436 2.660771 4.017367 4.763431 4.997995 6.422755 6.525584 7.239630 7.752473
