L z 0 1 2 3 4 5 6 7 8 9
2.4694 0.636364 1.348699 1.749591 1.930578 2.820829 3.546807 3.795749 4.680245 5.507099 5.596592 5.641564
2.1704 0.678788 1.410712 1.833634 2.000029 2.903365 3.634412 3.985649 4.719501 5.544042 5.669577 5.758070
1.9225 0.721212 1.472543 1.915825 2.064399 2.983204 3.713133 4.167909 4.753696 5.576807 5.741452 5.883771
1.7149 0.763636 1.534401 1.996109 2.124044 3.060031 3.784987 4.337214 4.791382 5.605610 5.812443 6.015826
1.5391 0.806061 1.596478 2.074415 2.179342 3.133488 3.851631 4.480365 4.848552 5.630682 5.882656 6.152384
1.389 0.848485 1.658927 2.150663 2.230692 3.203177 3.914422 4.577573 4.947354 5.652392 5.952164 6.292102
1.2599 0.890909 1.721854 2.224759 2.278512 3.268682 3.974466 4.628104 5.090457 5.671299 6.021023 6.430626
1.148 0.933333 1.785304 2.296543 2.323317 3.329602 4.032672 4.652054 5.259219 5.688212 6.089289 6.478933
1.0503 0.975758 1.849246 2.362465 2.369075 3.385582 4.089766 4.664428 5.439047 5.704643 6.157009 6.507429
0.9646 1.018182 1.913568 2.404194 2.434636 3.436370 4.146283 4.672457 5.616837 5.727967 6.224234 6.537295
0.889 1.060606 1.978074 2.442345 2.499991 3.481860 4.202540 4.679763 5.710008 5.838112 6.291012 6.568914
0.8219 1.10303 2.042515 2.479213 2.563463 3.522149 4.258667 4.688386 5.730145 6.021837 6.357415 6.602401
0.7622 1.145455 2.106580 2.515271 2.625003 3.557535 4.314688 4.699526 5.744348 6.210507 6.423537 6.637774
0.7087 1.187879 2.169936 2.550782 2.684547 3.588525 4.370655 4.713832 5.757816 6.396849 6.489807 6.675090
0.6607 1.230303 2.232237 2.585878 2.741993 3.615790 4.426697 4.731552 5.771447 6.549956 6.583485 6.715319
0.6173 1.272727 2.293143 2.620634 2.797249 3.640106 4.482998 4.752637 5.785520 6.617819 6.731053 6.781860
0.5782 1.315152 2.352322 2.655114 2.850256 3.662282 4.539736 4.776836 5.800114 6.682742 6.785025 6.937973
0.5426 1.357576 2.409473 2.689380 2.900994 3.683106 4.597057 4.803784 5.815225 6.747137 6.826883 7.098077
0.5102 1.4 2.464335 2.723492 2.949477 3.703290 4.655059 4.833068 5.830807 6.811163 6.867966 7.249258
0.4806 1.442424 2.516703 2.757494 2.995742 3.723446 4.713803 4.864276 5.846797 6.874849 6.908976 7.389716
0.4536 1.484848 2.566433 2.791401 3.039843 3.744071 4.773310 4.897028 5.863130 6.938056 6.950136 7.518681
0.4287 1.527273 2.613450 2.825195 3.081848 3.765549 4.833579 4.930990 5.879742 6.990264 7.001942 7.635906
0.4059 1.569697 2.657751 2.858820 3.121831 3.788157 4.894582 4.965883 5.896576 7.031233 7.064575 7.741553
0.3848 1.612121 2.699399 2.892185 3.159872 3.812083 4.956260 5.001494 5.913584 7.071814 7.127123 7.836099
0.3653 1.654545 2.738512 2.925176 3.196057 3.837433 5.018428 5.037776 5.930726 7.112112 7.189422 7.920252
0.3473 1.69697 2.775243 2.957667 3.230473 3.864250 5.072869 5.082739 5.947969 7.152091 7.251451 7.994848
0.3305 1.739394 2.809765 2.989540 3.263208 3.892525 5.110130 5.145663 5.965288 7.191709 7.313201 8.060783
0.315 1.781818 2.842247 3.020696 3.294350 3.922208 5.146969 5.209630 5.982659 7.230921 7.374661 8.118955
0.3005 1.824242 2.872855 3.051071 3.323992 3.953225 5.183821 5.274091 6.000068 7.269699 7.435834 8.170238
0.287 1.866667 2.901725 3.080627 3.352218 3.985476 5.220675 5.338939 6.017500 7.308007 7.496711 8.215444
0.2744 1.909091 2.928975 3.109360 3.379113 4.018851 5.257510 5.404102 6.034944 7.345822 7.557284 8.255318
0.2626 1.951515 2.954703 3.137291 3.404762 4.053234 5.294311 5.469516 6.052390 7.383122 7.617550 8.290531
0.2515 1.993939 2.978987 3.164462 3.429248 4.088510 5.331074 5.535126 6.069830 7.419891 7.677503 8.321682
0.2412 2.036364 3.001894 3.190927 3.452652 4.124564 5.367805 5.600876 6.087257 7.456118 7.737138 8.349293
0.2314 2.078788 3.023478 3.216745 3.475056 4.161291 5.404522 5.666715 6.104665 7.491795 7.796451 8.373820
0.2222 2.121212 3.043791 3.241977 3.496541 4.198590 5.441253 5.732600 6.122048 7.526918 7.855437 8.395659
0.2136 2.163636 3.062878 3.266680 3.517188 4.236373 5.478037 5.798489 6.139401 7.561487 7.914093 8.415147
0.2055 2.206061 3.080787 3.290905 3.537079 4.274557 5.514920 5.864348 6.156722 7.595504 7.972417 8.432578
0.1978 2.248485 3.097561 3.314696 3.556293 4.313069 5.551953 5.930147 6.174010 7.628969 8.030406 8.448199
0.1905 2.290909 3.113248 3.338088 3.574905 4.351841 5.589188 5.995856 6.191267 7.661885 8.088058 8.462225
0.1837 2.333333 3.127893 3.361109 3.592981 4.390811 5.626670 6.061441 6.208510 7.694250 8.145370 8.474841
