L z 0 1 2 3 4 5 6 7 8 9
2.4694 0.636364 0.664021 0.822209 1.122323 2.417285 3.400463 3.477813 4.979856 5.463693 6.275243 6.696665
2.1704 0.678788 0.705561 0.880509 1.190371 2.549784 3.628416 3.689622 5.025253 5.532392 6.331203 6.703673
1.9225 0.721212 0.747078 0.938727 1.257664 2.682779 3.854670 3.898702 5.070552 5.597313 6.384402 6.704187
1.7149 0.763636 0.789127 0.996875 1.324278 2.818427 4.079174 4.105226 5.115883 5.658359 6.435220 6.703883
1.5391 0.806061 0.832464 1.054956 1.390275 2.959941 4.301898 4.309393 5.161344 5.715453 6.484113 6.703409
1.389 0.848485 0.878069 1.112969 1.455711 3.112133 4.511423 4.522829 5.207005 5.768545 6.531576 6.702921
1.2599 0.890909 0.927057 1.170912 1.520636 3.282102 4.711544 4.741969 5.252914 5.817626 6.578102 6.702471
1.148 0.933333 0.980335 1.228783 1.585100 3.479773 4.910016 4.959353 5.299101 5.862763 6.624145 6.702070
1.0503 0.975758 1.037823 1.286581 1.649147 3.717320 5.107096 5.175000 5.345574 5.904146 6.670078 6.701708
0.9646 1.018182 1.097515 1.344306 1.712837 4.005982 5.303068 5.388809 5.392439 5.942135 6.701042 6.716178
0.889 1.060606 1.155369 1.401956 1.776248 4.349193 5.439346 5.498205 5.601067 5.977229 6.367826 6.701495
0.8219 1.10303 1.207025 1.459536 1.839510 4.734259 5.486634 5.692073 5.811384 5.975765 6.010039 6.701310
0.7622 1.145455 1.250219 1.517033 1.902766 5.118569 5.534158 5.677444 5.892185 6.019795 6.040751 6.701290
0.7087 1.187879 1.285571 1.574433 1.966167 5.283060 5.581889 5.689581 6.069793 6.086874 6.226263 6.701461
0.6607 1.230303 1.315365 1.631720 2.029847 5.180232 5.629823 6.020850 6.097278 6.283972 6.430744 6.702044
0.6173 1.272727 1.342020 1.688884 2.093928 5.094250 5.677899 6.123296 6.358606 6.481964 6.632740 6.704446
0.5782 1.315152 1.367359 1.745911 2.158518 5.047004 5.726079 6.147986 6.659747 6.664540 6.722807 6.835156
0.5426 1.357576 1.392525 1.802795 2.223717 5.030731 5.774323 6.171480 6.694965 6.896786 6.921323 7.033909
0.5102 1.4 1.418173 1.859526 2.289612 5.037266 5.822586 6.193916 6.697088 7.102589 7.143547 7.149534
0.4806 1.442424 1.444665 1.916097 2.356273 5.060299 5.870824 6.215422 6.697743 7.199101 7.312855 7.331496
0.4536 1.484848 1.472209 1.972503 2.423747 5.095210 5.918995 6.236115 6.698038 7.248736 7.489863 7.525618
0.4287 1.527273 1.500947 2.028735 2.492051 5.138636 5.967057 6.256097 6.698193 7.298360 7.623595 7.649883
0.4059 1.569697 1.531006 2.084789 2.561168 5.188098 6.014965 6.275460 6.698282 7.347923 7.652399 7.737625
0.3848 1.612121 1.562520 2.140657 2.631040 5.241715 6.062675 6.294283 6.698335 7.397382 7.652889 7.835753
0.3653 1.654545 1.595651 2.196335 2.701576 5.297997 6.110133 6.312647 6.698367 7.446698 7.653076 7.921935
0.3473 1.69697 1.630592 2.251816 2.772643 5.355702 6.157272 6.330639 6.698387 7.495839 7.653170 7.999417
0.3305 1.739394 1.667573 2.307095 2.844083 5.413716 6.203989 6.348374 6.698399 7.544771 7.653231 8.071030
0.315 1.781818 1.706853 2.362163 2.915704 5.470961 6.250097 6.366044 6.698405 7.593449 7.653301 8.139258
0.3005 1.824242 1.748741 2.417022 2.987321 5.526341 6.295212 6.384048 6.698409 7.641521 7.653729 8.206327
0.287 1.866667 1.793554 2.471665 3.058727 5.578636 6.338343 6.403380 6.698410 7.653056 7.690435 8.274252
0.2744 1.909091 1.841618 2.526087 3.129727 5.626477 6.376819 6.426712 6.698410 7.653150 7.738316 8.344836
0.2626 1.951515 1.893239 2.580284 3.200142 5.668304 6.406382 6.458308 6.698409 7.653175 7.785996 8.419457
0.2515 1.993939 1.948647 2.634254 3.269818 5.702364 6.427700 6.497505 6.698408 7.653186 7.833428 8.498332
0.2412 2.036364 2.007930 2.687996 3.338624 5.726780 6.445006 6.540073 6.698408 7.653191 7.880611 8.577989
0.2314 2.078788 2.070928 2.741508 3.406460 5.739726 6.460500 6.583819 6.698408 7.653194 7.927560 8.643490
0.2222 2.121212 2.137099 2.794791 3.473256 5.739744 6.474987 6.627946 6.698409 7.653196 7.974298 8.661538
0.2136 2.163636 2.205365 2.847845 3.538972 5.726217 6.488790 6.672140 6.698410 7.653197 8.020857 8.622623
0.2055 2.206061 2.273952 2.900674 3.603592 5.699944 6.502058 6.698413 6.716256 7.653198 8.067277 8.556195
0.1978 2.248485 2.340309 2.953279 3.667123 5.663630 6.514872 6.698416 6.760224 7.653199 8.113597 8.483591
0.1905 2.290909 2.401174 3.005663 3.729590 5.622041 6.527278 6.698420 6.804005 7.653200 8.159856 8.414379
0.1837 2.333333 2.452897 3.057829 3.791031 5.581561 6.539305 6.698423 6.847577 7.653201 8.206083 8.352847
