L z 0 1 2 3 4 5 6 7 8 9
2.4694 0.636364 1.332629 1.522672 1.691273 3.263960 4.343976 4.357449 5.474534 5.830233 6.402761 7.020584
2.1704 0.678788 1.385972 1.596073 1.775181 3.405282 4.580622 4.594056 5.504679 5.913749 6.483424 7.146591
1.9225 0.721212 1.438925 1.668647 1.858083 3.545861 4.810205 4.829147 5.534587 5.995290 6.561189 7.272276
1.7149 0.763636 1.492166 1.740447 1.940039 3.687721 5.033437 5.061935 5.564627 6.074789 6.636275 7.393912
1.5391 0.806061 1.546579 1.811528 2.021116 3.833776 5.250863 5.291659 5.595406 6.152167 6.708932 7.397262
1.389 0.848485 1.603280 1.881940 2.101394 3.988338 5.461716 5.517947 5.628501 6.227329 6.779413 7.398858
1.2599 0.890909 1.663562 1.951734 2.180968 4.157806 5.639121 5.691100 5.740864 6.300180 6.847923 7.401855
1.148 0.933333 1.728595 2.020962 2.259950 4.351442 5.688787 5.878385 5.959580 6.370639 6.914555 7.406524
1.0503 0.975758 1.798709 2.089677 2.338454 4.581557 5.727649 6.072482 6.173972 6.438663 6.979208 7.413314
0.9646 1.018182 1.872322 2.157932 2.416577 4.861802 5.767570 6.258916 6.383004 6.504290 7.041577 7.422953
0.889 1.060606 1.945307 2.225769 2.494357 5.201489 5.807660 6.430988 6.566666 6.585669 7.101303 7.434998
0.8219 1.10303 2.012165 2.293231 2.571800 5.594941 5.846558 6.569451 6.627837 6.775970 7.158299 7.305723
0.7622 1.145455 2.068847 2.360330 2.648911 5.872058 6.018035 6.621720 6.686521 6.948250 7.170609 7.213835
0.7087 1.187879 2.114764 2.427077 2.725797 5.903413 6.296856 6.675850 6.743858 7.088950 7.228060 7.268867
0.6607 1.230303 2.152187 2.493477 2.802660 5.927911 6.264795 6.797711 6.972170 7.185943 7.318803 7.409790
0.6173 1.272727 2.184318 2.559542 2.879741 5.949431 6.188199 6.849772 7.230239 7.247042 7.378266 7.676741
0.5782 1.315152 2.213895 2.625280 2.957261 5.969452 6.139877 6.899293 7.275313 7.382527 7.462054 7.986068
0.5426 1.357576 2.242767 2.690704 3.035406 5.989212 6.121752 6.946363 7.295075 7.453764 7.570197 8.183657
0.5102 1.4 2.272022 2.755820 3.114324 6.009899 6.127545 6.991037 7.307557 7.510020 7.659732 8.369755
0.4806 1.442424 2.302256 2.820637 3.194130 6.032197 6.151114 7.033382 7.315834 7.563747 7.726471 8.556067
0.4536 1.484848 2.333783 2.885160 3.274903 6.056012 6.188086 7.073480 7.321480 7.616793 7.775082 8.682378
0.4287 1.527273 2.366784 2.949391 3.356681 6.080984 6.235419 7.111418 7.325375 7.669420 7.810687 8.744496
0.4059 1.569697 2.401394 3.013332 3.439459 6.106934 6.290761 7.147287 7.328050 7.721125 7.837783 8.805434
0.3848 1.612121 2.437741 3.076983 3.523186 6.133884 6.352205 7.181167 7.329860 7.770018 7.861004 8.866444
0.3653 1.654545 2.475980 3.140342 3.607767 6.161958 6.418194 7.213118 7.331074 7.810752 7.887538 8.927526
0.3473 1.69697 2.516298 3.203407 3.693056 6.191323 6.487430 7.243138 7.331956 7.836036 7.925923 8.988498
0.3305 1.739394 2.558930 3.266174 3.778871 6.222169 6.558752 7.271039 7.332915 7.847863 7.975048 9.049084
0.315 1.781818 2.604145 3.328634 3.864993 6.254701 6.631013 7.295904 7.335056 7.852496 8.029336 9.108897
0.3005 1.824242 2.652271 3.390792 3.951198 6.289156 6.702972 7.313900 7.342389 7.853308 8.086051 9.167425
0.287 1.866667 2.703655 3.452636 4.037237 6.325772 6.773101 7.320745 7.359347 7.852054 8.144109 9.223941
0.2744 1.909091 2.758661 3.514161 4.122872 6.364799 6.839433 7.322063 7.380442 7.850049 8.203021 9.277464
0.2626 1.951515 2.817638 3.575362 4.207877 6.406467 6.899384 7.321771 7.401885 7.848614 8.262543 9.326727
0.2515 1.993939 2.880872 3.636234 4.292058 6.450960 6.949617 7.320870 7.422774 7.849207 8.322562 9.370312
0.2412 2.036364 2.948503 3.696771 4.375252 6.498349 6.986128 7.319664 7.442869 7.853304 8.383065 9.407048
0.2314 2.078788 3.020414 3.756969 4.457335 6.548523 7.004723 7.318253 7.462105 7.861962 8.444139 9.436547
0.2222 2.121212 3.096085 3.816824 4.538231 6.601074 7.001936 7.316654 7.480493 7.875128 8.505969 9.459414
0.2136 2.163636 3.174398 3.876334 4.617908 6.655176 6.976141 7.314868 7.498110 7.891183 8.568840 9.476894
0.2055 2.206061 3.253446 3.935501 4.696377 6.709468 6.928364 7.312926 7.515068 7.907281 8.633114 9.490335
0.1978 2.248485 3.330388 3.994324 4.773682 6.761933 6.862675 7.310889 7.531473 7.920473 8.699176 9.500858
0.1905 2.290909 3.401461 4.052804 4.849873 6.784035 6.811979 7.308815 7.547410 7.928855 8.767328 9.509284
0.1837 2.333333 3.462283 4.110947 4.924981 6.705521 6.852791 7.306744 7.562935 7.932007 8.837626 9.516179
