L z 0 1 2 3 4 5 6 7 8 9
2.4694 0.636364 1.361477 1.736884 1.947234 2.805718 3.555826 3.795859 4.698321 5.416807 5.698212 5.785179
2.1704 0.678788 1.423298 1.820977 2.015414 2.889129 3.646101 3.986018 4.738524 5.469162 5.814789 5.869149
1.9225 0.721212 1.484939 1.903214 2.078119 2.970680 3.727205 4.168870 4.773573 5.521148 5.939148 5.952133
1.7149 0.763636 1.546601 1.983555 2.135765 3.049934 3.801167 4.339390 4.811609 5.573424 6.034154 6.069030
1.5391 0.806061 1.608469 2.061943 2.188804 3.126399 3.869663 4.485328 4.867614 5.626844 6.115326 6.202788
1.389 0.848485 1.670697 2.138303 2.237711 3.199537 3.934072 4.587533 4.963093 5.682474 6.195709 6.339354
1.2599 0.890909 1.733390 2.212541 2.282987 3.268785 3.995519 4.642882 5.103178 5.741532 6.275404 6.468163
1.148 0.933333 1.796602 2.284495 2.325219 3.333599 4.054935 4.670054 5.270895 5.805094 6.354524 6.518998
1.0503 0.975758 1.860312 2.352967 2.366077 3.393486 4.113059 4.684656 5.451974 5.873388 6.433168 6.566630
0.9646 1.018182 1.924426 2.400008 2.424076 3.448066 4.170437 4.694505 5.639544 5.944783 6.511384 6.612278
0.889 1.060606 1.988759 2.436124 2.489344 3.497115 4.227394 4.703531 5.830124 6.015258 6.589116 6.656241
0.8219 1.10303 2.053068 2.470777 2.553067 3.540622 4.284075 4.713932 6.021209 6.079863 6.666233 6.698816
0.7622 1.145455 2.117033 2.504720 2.614948 3.578794 4.340522 4.726980 6.133033 6.212788 6.738704 6.744116
0.7087 1.187879 2.180299 2.538272 2.674902 3.612075 4.396805 4.743344 6.177221 6.400287 6.779574 6.819229
0.6607 1.230303 2.242498 2.571597 2.732831 3.641106 4.453072 4.763258 6.213141 6.583549 6.818080 6.895115
0.6173 1.272727 2.303262 2.604805 2.788647 3.666669 4.509520 4.786639 6.244087 6.760678 6.855074 6.971165
0.5782 1.315152 2.362228 2.637997 2.842290 3.689606 4.566337 4.813191 6.272693 6.890557 6.929977 7.047617
0.5426 1.357576 2.419056 2.671288 2.893734 3.710749 4.623675 4.842502 6.300710 6.924561 7.089829 7.124731
0.5102 1.4 2.473437 2.704794 2.942986 3.730860 4.681642 4.874114 6.329159 6.957133 7.202240 7.239334
0.4806 1.442424 2.525112 2.738614 2.990075 3.750601 4.740302 4.907576 6.358589 6.988341 7.280932 7.376820
0.4536 1.484848 2.573891 2.772813 3.035047 3.770516 4.799687 4.942478 6.389290 7.018257 7.360494 7.502089
0.4287 1.527273 2.619674 2.807391 3.077961 3.791030 4.859801 4.978465 6.421430 7.046953 7.441018 7.614959
0.4059 1.569697 2.662469 2.842275 3.118882 3.812461 4.920628 5.015239 6.455131 7.074499 7.522507 7.715727
0.3848 1.612121 2.702387 2.877309 3.157883 3.835030 4.982130 5.052561 6.490518 7.100960 7.604913 7.805045
0.3653 1.654545 2.739629 2.912281 3.195042 3.858882 5.044253 5.090259 6.527739 7.126400 7.688145 7.883818
0.3473 1.69697 2.774448 2.946947 3.230441 3.884091 5.106843 5.128284 6.566977 7.150875 7.772065 7.953075
0.3305 1.739394 2.807108 2.981072 3.264161 3.910682 5.164589 5.171779 6.608462 7.174439 7.856492 8.013881
0.315 1.781818 2.837857 3.014456 3.296284 3.938633 5.203504 5.234581 6.652457 7.197142 7.941207 8.067276
0.3005 1.824242 2.866913 3.046956 3.326900 3.967901 5.241449 5.298724 6.699287 7.219035 8.025974 8.114244
0.287 1.866667 2.894448 3.078477 3.356090 3.998410 5.279208 5.363312 6.749291 7.240162 8.110456 8.155738
0.2744 1.909091 2.920597 3.108974 3.383937 4.030073 5.316804 5.428237 6.802830 7.260566 8.189298 8.197631
0.2626 1.951515 2.945462 3.138445 3.410524 4.062792 5.354234 5.493433 6.860254 7.280291 8.224006 8.278838
0.2515 1.993939 2.969120 3.166918 3.435934 4.096465 5.391501 5.558844 6.921848 7.299383 8.252934 8.361315
0.2412 2.036364 2.991625 3.194442 3.460247 4.130991 5.428617 5.624416 6.987761 7.317887 8.278690 8.442560
0.2314 2.078788 3.013019 3.221079 3.483546 4.166270 5.465602 5.690102 7.057894 7.335856 8.301756 8.521475
0.2222 2.121212 3.033337 3.246901 3.505912 4.202209 5.502490 5.755858 7.131752 7.353351 8.322497 8.590671
0.2136 2.163636 3.052604 3.271981 3.527426 4.238723 5.539325 5.821646 7.208245 7.370456 8.341214 8.625245
0.2055 2.206061 3.070847 3.296390 3.548168 4.275732 5.576158 5.887432 7.285457 7.387322 8.358156 8.645791
0.1978 2.248485 3.088091 3.320197 3.568215 4.313165 5.613048 5.953187 7.360073 7.404598 8.373533 8.664359
0.1905 2.290909 3.104360 3.343465 3.587637 4.350956 5.650055 6.018885 7.414428 7.436387 8.387521 8.682327
0.1837 2.333333 3.119680 3.366252 3.606499 4.389044 5.687231 6.084510 7.433180 7.493859 8.400266 8.699984
