L z 0 1 2 3 4 5 6 7 8 9
2.4694 0.636364 1.472372 1.558735 1.691685 3.352814 3.765407 3.808780 5.640537 5.771196 6.378778 6.479497
2.1704 0.678788 1.521557 1.617350 1.758467 3.503288 3.951694 3.994085 5.664913 5.839865 6.445295 6.474720
1.9225 0.721212 1.569715 1.675310 1.824473 3.651432 4.135124 4.175712 5.689125 5.907285 6.470415 6.509669
1.7149 0.763636 1.616918 1.732633 1.889721 3.797415 4.315658 4.353691 5.713192 5.973436 6.466894 6.571883
1.5391 0.806061 1.663244 1.789347 1.954241 3.941394 4.493252 4.528078 5.737141 6.038306 6.464350 6.631970
1.389 0.848485 1.708767 1.845478 2.018064 4.083529 4.667868 4.698968 5.761000 6.101871 6.462910 6.689973
1.2599 0.890909 1.753556 1.901054 2.081226 4.223950 4.839420 4.866460 5.784798 6.164107 6.462675 6.745915
1.148 0.933333 1.797667 1.956090 2.143751 4.362769 5.007772 5.030665 5.808562 6.224967 6.463754 6.799699
1.0503 0.975758 1.841160 2.010611 2.205686 4.500099 5.172717 5.191702 5.832334 6.284411 6.466314 6.850803
0.9646 1.018182 1.884091 2.064645 2.267081 4.636037 5.333941 5.349651 5.856167 6.342385 6.470642 6.896346
0.889 1.060606 1.926500 2.118204 2.327979 4.770658 5.491010 5.504414 5.880153 6.398763 6.477274 6.924562
0.8219 1.10303 1.968431 2.171311 2.388440 4.904029 5.643389 5.655433 5.904534 6.453060 6.487474 6.937277
0.7622 1.145455 2.009925 2.223988 2.448529 5.036218 5.790044 5.801131 5.930335 6.496006 6.511930 6.948433
0.7087 1.187879 2.051016 2.276255 2.508315 5.167264 5.921931 5.933525 5.971600 6.519589 6.561243 6.961768
0.6607 1.230303 2.091728 2.328121 2.567858 5.297185 5.968576 6.055930 6.090224 6.552390 6.611360 6.978742
0.6173 1.272727 2.132087 2.379604 2.627232 5.425984 5.994882 6.160192 6.221496 6.603064 6.660344 7.000901
0.5782 1.315152 2.172116 2.430719 2.686512 5.553640 6.019800 6.238055 6.346733 6.676678 6.709094 7.030509
0.5426 1.357576 2.211835 2.481483 2.745772 5.680059 6.044605 6.290104 6.461499 6.748127 6.782198 7.070902
0.5102 1.4 2.251253 2.531897 2.805073 5.804973 6.069802 6.323162 6.561385 6.794011 6.896283 7.126298
0.4806 1.442424 2.290383 2.581975 2.864483 5.927513 6.096345 6.344396 6.642669 6.836455 7.022130 7.200400
0.4536 1.484848 2.329238 2.631730 2.924065 6.042928 6.129010 6.358567 6.704434 6.876965 7.153570 7.294111
0.4287 1.527273 2.367819 2.681160 2.983861 6.120038 6.198966 6.368410 6.749200 6.915754 7.287762 7.404823
0.4059 1.569697 2.406131 2.730275 3.043915 6.154549 6.310485 6.375467 6.781078 6.952908 7.423192 7.500938
0.3848 1.612121 2.444179 2.779082 3.104257 6.181505 6.380633 6.428505 6.803821 6.988474 7.544521 7.559113
0.3653 1.654545 2.481967 2.827587 3.164905 6.206928 6.384462 6.546955 6.820134 7.022493 7.588216 7.694743
0.3473 1.69697 2.519487 2.875787 3.225851 6.231828 6.387299 6.664756 6.831806 7.055004 7.632015 7.829942
0.3305 1.739394 2.556742 2.923687 3.287082 6.256498 6.389376 6.781473 6.840059 7.086065 7.676028 7.964428
0.315 1.781818 2.593730 2.971291 3.348570 6.281044 6.390857 6.845028 6.897530 7.115755 7.720283 8.098060
0.3005 1.824242 2.630451 3.018603 3.410271 6.305508 6.391861 6.848256 7.011674 7.144227 7.764792 8.230737
0.287 1.866667 2.666896 3.065617 3.472117 6.329895 6.392487 6.849446 7.123680 7.172311 7.809542 8.362373
0.2744 1.909091 2.703066 3.112338 3.534038 6.354169 6.392843 6.848953 7.194154 7.239287 7.854519 8.492875
0.2626 1.951515 2.738959 3.158770 3.595956 6.378019 6.393292 6.846986 7.219933 7.348299 7.899696 8.621936
0.2515 1.993939 2.774567 3.204905 3.657773 6.391252 6.404061 6.843720 7.243534 7.456793 7.945023 8.741007
0.2412 2.036364 2.809889 3.250747 3.719395 6.391411 6.427637 6.839300 7.265909 7.563796 7.990454 8.793658
0.2314 2.078788 2.844924 3.296296 3.780729 6.390875 6.451662 6.833862 7.287220 7.669124 8.035934 8.839246
0.2222 2.121212 2.879671 3.341554 3.841682 6.390112 6.475684 6.827533 7.307551 7.772657 8.081405 8.884476
0.2136 2.163636 2.914124 3.386515 3.902153 6.389195 6.499643 6.820440 7.326964 7.874272 8.126799 8.929506
0.2055 2.206061 2.948283 3.431178 3.962059 6.388156 6.523515 6.812702 7.345517 7.973848 8.172063 8.974284
0.1978 2.248485 2.982149 3.475546 4.021323 6.387018 6.547289 6.804436 7.363264 8.071252 8.217153 9.018702
0.1905 2.290909 3.015722 3.519619 4.079876 6.385798 6.570954 6.795758 7.380255 8.166298 8.262068 9.062614
0.1837 2.333333 3.048999 3.563390 4.137649 6.384513 6.594496 6.786783 7.396532 8.258564 8.307013 9.105825
