L z 0 1 2 3 4 5 6 7 8 9
9.0 0.333333 1.598173 2.907678 5.655924 6.049281 6.123352 7.234173 7.867790 8.707315 9.013292 9.138733
8.1633 0.35 1.648908 2.949137 5.763011 6.136993 6.189551 7.284639 7.978339 8.731519 9.036625 9.168985
7.438 0.366667 1.697479 2.989953 5.846766 6.153523 6.350803 7.333297 8.097817 8.755928 9.057719 9.198723
6.8053 0.383333 1.743818 3.030619 5.915961 6.170290 6.526789 7.380022 8.231235 8.780898 9.077499 9.228018
6.25 0.4 1.787913 3.071543 5.976946 6.188236 6.710219 7.424566 8.384890 8.806840 9.096744 9.256921
5.76 0.416667 1.829806 3.113039 6.033278 6.207563 6.897272 7.466616 8.564729 8.834717 9.116277 9.285476
5.3255 0.433333 1.869607 3.155290 6.086882 6.227916 7.085912 7.506006 8.765069 8.873508 9.137236 9.313728
4.9383 0.45 1.907421 3.198312 6.138825 6.248278 7.274957 7.542980 8.866940 9.028816 9.166429 9.341704
4.5918 0.466667 1.943308 3.241987 6.189696 6.267295 7.463189 7.578697 8.897242 9.148827 9.286686 9.370007
4.2806 0.483333 1.977247 3.286163 6.239786 6.283971 7.607198 7.656949 8.921152 9.171735 9.356863 9.399269
4.0 0.5 2.009171 3.330754 6.288599 6.298740 7.643879 7.841223 8.942552 9.184366 9.364757 9.427093
3.7461 0.516667 2.039032 3.375770 6.309139 6.339165 7.678477 8.026421 8.962285 9.193291 9.365505 9.454768
3.5156 0.533333 2.066825 3.421274 6.319629 6.387845 7.713536 8.209885 8.980757 9.200596 9.364321 9.481871
3.3058 0.55 2.092598 3.467343 6.329244 6.436374 7.749265 8.391117 8.998183 9.207844 9.362668 9.505526
3.1142 0.566667 2.116440 3.514037 6.338616 6.484708 7.785652 8.569733 9.014697 9.216227 9.361329 9.520019
2.9388 0.583333 2.138467 3.561396 6.348132 6.532890 7.822652 8.745153 9.030555 9.226580 9.360632 9.531879
2.7778 0.6 2.158801 3.609429 6.358035 6.580954 7.860213 8.915484 9.047167 9.239476 9.360606 9.545223
2.6297 0.616667 2.177567 3.658125 6.368490 6.628933 7.898297 9.043306 9.100739 9.255667 9.361374 9.560500
2.4931 0.633333 2.194891 3.707460 6.379613 6.676853 7.936875 9.065598 9.242022 9.284633 9.365042 9.577499
2.3669 0.65 2.210892 3.757400 6.391497 6.724732 7.975921 9.079335 9.286605 9.351773 9.432361 9.596056
2.25 0.666667 2.225687 3.807910 6.404232 6.772592 8.015412 9.092309 9.309928 9.356889 9.576792 9.616558
2.1416 0.683333 2.239385 3.858949 6.417902 6.820443 8.055311 9.105446 9.333584 9.358330 9.636913 9.705663
2.0408 0.7 2.252086 3.910469 6.432597 6.868291 8.095571 9.119205 9.353705 9.364034 9.660214 9.769057
1.947 0.716667 2.263883 3.962425 6.448415 6.916138 8.136135 9.133916 9.356789 9.387905 9.685132 9.804884
1.8595 0.733333 2.274865 4.014779 6.465472 6.963992 8.176939 9.149854 9.357110 9.415728 9.711967 9.837430
1.7778 0.75 2.285112 4.067488 6.483893 7.011849 8.217906 9.167247 9.357108 9.445066 9.740914 9.869298
1.7013 0.766667 2.294695 4.120509 6.503814 7.059706 8.258958 9.186296 9.356993 9.475723 9.772161 9.901017
1.6297 0.783333 2.303683 4.173802 6.525385 7.107556 8.300018 9.207178 9.356823 9.507676 9.805888 9.932755
1.5625 0.8 2.312136 4.227328 6.548762 7.155391 8.341016 9.230048 9.356629 9.540954 9.842262 9.964582
1.4994 0.816667 2.320111 4.281056 6.574107 7.203209 8.381907 9.255039 9.356431 9.575622 9.881440 9.996539
1.44 0.833333 2.327662 4.334953 6.601561 7.250999 8.422660 9.282235 9.356258 9.611747 9.923523 10.028647
1.3841 0.85 2.334837 4.388983 6.631232 7.298751 8.463281 9.311620 9.356186 9.649379 9.968549 10.060935
1.3314 0.866667 2.341682 4.443117 6.663160 7.346456 8.503814 9.342433 9.356955 9.688523 10.016432 10.093456
1.2816 0.883333 2.348246 4.497333 6.697286 7.394113 8.544365 9.354485 9.378633 9.729110 10.066883 10.126351
1.2346 0.9 2.354571 4.551606 6.733381 7.441717 8.585087 9.354746 9.413962 9.770932 10.119110 10.160054
1.1901 0.916667 2.360703 4.605913 6.770998 7.489268 8.626198 9.354656 9.451018 9.813608 10.170607 10.196469
1.148 0.933333 2.366686 4.660234 6.809411 7.536768 8.667970 9.354509 9.488784 9.856541 10.214440 10.241611
1.108 0.95 2.372563 4.714550 6.847583 7.584226 8.710710 9.354346 9.526249 9.898887 10.250488 10.294328
1.0702 0.966667 2.378377 4.768855 6.884190 7.631662 8.754718 9.354182 9.562238 9.939584 10.284318 10.347441
1.0342 0.983333 2.384163 4.823135 6.917700 7.679090 8.800204 9.354020 9.595489 9.977391 10.317521 10.397380
1.0 1.0 2.389955 4.877381 6.946558 7.726528 8.847203 9.353867 9.624833 10.011024 10.350434 10.441192
